N	b_dot_vmin	abs_b_dot_vmin	peak_k	peak_ratio
10	-2.029987551131207e-3	2.029987551131207e-3	9	0.900000
20	-2.622040569372139e-4	2.622040569372139e-4	18	0.900000
30	-4.447829517223792e-5	4.447829517223792e-5	28	0.933333
50	8.810966950375393e-6	8.810966950375393e-6	48	0.960000
75	-2.944701008003765e-5	2.944701008003765e-5	72	0.960000
100	2.128877805298690e-5	2.128877805298690e-5	96	0.960000
150	1.888856696099107e-5	1.888856696099107e-5	144	0.960000
200	-1.329808473008159e-6	1.329808473008159e-6	198	0.990000
250	-5.831083662881723e-6	5.831083662881723e-6	240	0.960000
300	-1.942985082173821e-6	1.942985082173821e-6	294	0.980000
400	1.000963514982342e-8	1.000963514982342e-8	360	0.900000
500	-5.115192003256997e-7	5.115192003256997e-7	444	0.888000
