N	dim	lambda_min	lambda_2	lambda_3	gap_ratio	method	elapsed_s
10	9	9.180132388077652e-3	1.137244555939860e-2	1.712191451612993e-2	1.23881063	full_eigen	0.000
20	19	2.595645325043776e-3	3.007179383753861e-3	3.337941294721667e-3	1.15854788	full_eigen	0.000
30	29	1.237323578669231e-3	1.377109206524703e-3	1.421031717589690e-3	1.11297419	full_eigen	0.000
50	49	4.347096872806790e-4	5.137153470402509e-4	5.344850233779066e-4	1.18174350	full_eigen	0.000
75	74	2.043582058680993e-4	2.195720873006352e-4	2.297924904740307e-4	1.07444713	full_eigen	0.001
100	99	1.200555567109699e-4	1.293199314924543e-4	1.316363799663717e-4	1.07716740	full_eigen	0.002
150	149	5.605237257403993e-5	5.916848711316333e-5	5.998685545574662e-5	1.05559291	full_eigen	0.005
200	199	2.955139942674820e-5	3.125876148019511e-5	3.331877715807175e-5	1.05777601	full_eigen	0.011
250	249	1.833017197514514e-5	1.912036184476747e-5	2.013770761954793e-5	1.04310870	full_eigen	0.011
300	299	1.403009070334037e-5	1.455989122308393e-5	1.502065124973764e-5	1.03776173	full_eigen	0.018
400	399	9.407157533412159e-6	9.835975433790245e-6	9.900099506080599e-6	1.04558422	full_eigen	0.035
500	499	7.365996501627497e-6	7.539259368741540e-6	7.759353573281111e-6	1.02352199	full_eigen	0.067
600	599	5.978712899463644e-6	6.242946447449199e-6	6.410648250709742e-6	1.04419572	full_eigen	0.114
700	699	5.315593132618791e-6	5.378528556837688e-6	5.487860607557417e-6	1.01183977	full_eigen	0.183
800	799	4.760061326939343e-6	4.817396277010716e-6	4.876577989380467e-6	1.01204500	full_eigen	0.277
900	899	4.631360755940448e-6	4.684909120037129e-6	4.726333938942084e-6	1.01156212	full_eigen	0.390
1000	999	4.243609409557123e-6	4.281811950501975e-6	4.296739308559228e-6	1.00900237	full_eigen	0.516
