q	phi_q	primitive_chars	zeros_found	zeros_expected	all_on_line	min_L	pair_corr	elapsed_s
3	2	1	76	45.61	true	5.247538514829841e-17	0.50666667	0.013
4	2	1	78	50.19	true	4.163336342344337e-17	0.50649351	0.011
5	4	3	258	161.23	true	1.387778780781446e-17	0.36964981	0.065
6	2	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
7	6	5	409	295.49	true	1.387778780781446e-17	0.38725490	0.134
8	4	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
9	6	4	313	252.39	true	2.081668171172169e-17	0.38141026	0.077
10	4	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
11	10	9	713	596.62	true	1.387778780781446e-17	0.42977528	0.230
12	4	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
13	12	11	838	758.45	true	6.938893903907228e-18	0.38829152	0.253
14	6	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
15	8	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
16	8	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
17	16	15	1146	1098.29	true	1.387778780781446e-17	0.39563319	0.403
18	6	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
19	18	17	1262	1274.82	true	6.938893903907228e-18	0.39492466	0.438
20	8	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
21	12	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
22	10	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
23	22	21	1564	1638.64	true	1.387778780781446e-17	0.38707614	0.482
24	8	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
25	20	16	1095	1269.72	true	1.387778780781446e-17	0.39031079	0.311
26	12	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
27	18	12	748	966.99	true	1.387778780781446e-17	0.36144578	0.178
28	12	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
29	28	27	2021	2206.43	true	0.000000000000000e0	0.37970297	0.557
30	8	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
31	30	29	2077	2400.65	true	6.938893903907228e-18	0.38631985	0.598
32	16	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
33	20	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
34	16	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
35	24	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
36	12	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
37	36	35	2594	2995.89	true	1.387778780781446e-17	0.39182414	0.750
38	18	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
39	24	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
40	16	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
41	40	39	2872	3402.00	true	0.000000000000000e0	0.39359108	0.846
42	12	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
43	42	41	2989	3607.54	true	1.387778780781446e-17	0.40997323	0.844
44	20	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
45	24	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
46	22	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
47	46	45	3283	4023.20	true	6.938893903907228e-18	0.38878732	0.944
48	16	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
49	42	36	2487	3242.43	true	1.387778780781446e-17	0.38978278	0.651
50	20	0	0	-0.00	true	0.000000000000000e0	0.00000000	0.000
