N	core	theta	D	d2_min	d2_selberg	improvement	c1	c2	c3	c4
10	Möbius	0.90	7	-3.608840107743163e0	-3.768488093226153e-1	0.0000000000	-338.4735730071	1282.1781079647	-1681.8275062544	726.4545053681
10	Liouville	0.90	7	-3.340929950392316e0	-5.312205721059220e-1	0.0000000000	0.1917980483	91.1818577846	-78.2374895609	2.3290871884
20	Möbius	0.90	14	-6.741925529204309e0	-5.314566565694568e-1	0.0000000000	621.2062844250	-1763.2181693154	2215.5329157231	-977.8999722682
20	Liouville	0.90	14	-6.883617415995104e0	-9.230671221332760e-1	0.0000000000	197.9261585826	-717.8399839178	1131.5810262731	-580.6457180735
30	Möbius	0.90	21	-7.917648117989302e0	-5.633151285811002e-1	0.0000000000	1107.5936047659	-3384.0187718766	4269.1140755648	-1852.2186419313
30	Liouville	0.90	21	-7.442420219424093e0	-1.062621530535818e0	0.0000000000	-19.7603928982	22.9325028220	217.0942797731	-196.8392284502
50	Möbius	0.90	33	-1.300797575246543e1	-6.643359910563059e-1	0.0000000000	2067.3678977413	-4706.6639688277	4915.4654763864	-1900.4307245120
50	Liouville	0.90	33	-1.137323858785385e1	-1.303081879108323e0	0.0000000000	-408.7323256318	1351.8138625511	-1343.6621939799	416.8369554384
75	Möbius	0.90	48	-1.852716818451881e1	-7.148558243370964e-1	0.0000000000	3900.3973563096	-8614.4323924326	8612.9945457361	-3193.0802111130
75	Liouville	0.90	48	-1.814440758712590e1	-1.461405577833226e0	0.0000000000	-1194.0774955028	4219.1103898573	-4914.7146947320	1889.2819910767
100	Möbius	0.90	63	-3.125395445153117e1	-7.196866281852601e-1	0.0000000000	-8459.2237648756	19182.4166992611	-18446.5380552441	6413.7834982165
100	Liouville	0.90	63	-3.424468359909952e1	-1.551614769916454e0	0.0000000000	-2314.9683569571	8516.9220981254	-10455.1659554332	4229.1318962636
150	Möbius	0.90	90	-2.036860448494554e1	-7.760435291460817e-1	0.0000000000	-5297.4627558341	13013.6355395639	-12801.4129587153	4437.8393537945
150	Liouville	0.90	90	-4.756274933367968e1	-1.698338428357488e0	0.0000000000	-3053.4888905992	11227.2169845815	-13759.3072238488	5554.2851821014
200	Möbius	0.90	117	-6.598849105834961e1	-8.127783404366195e-1	0.0000000000	19763.8703935797	-40535.8135732011	36857.5782925626	-12439.2774394555
200	Liouville	0.90	117	-4.736352295987308e1	-1.801550317292946e0	0.0000000000	-3105.5442426726	11115.4332991255	-13270.0801857968	5234.3618591567
250	Möbius	0.90	143	-3.103893414139748e1	-8.167353924794237e-1	0.0000000000	-14357.3030287010	30314.7289219601	-27161.7949156333	8829.0004008906
250	Liouville	0.90	143	-7.072152403742075e1	-1.852340775852683e0	0.0000000000	-4256.9347628490	15605.3281739686	-19038.8584415891	7649.8651167998
300	Möbius	0.90	169	-2.760155968368053e1	-8.337392680676848e-1	0.0000000000	11188.9965543373	-22514.7076517970	20691.4001215054	-7155.1614409931
300	Liouville	0.90	169	-7.246021191030741e1	-1.908960243757674e0	0.0000000000	-4419.1392199315	15991.3992690969	-19273.2139412200	7662.3996176456
400	Möbius	0.90	219	-3.737225653976202e1	-8.549619753008956e-1	0.0000000000	20781.9261740267	-39156.7466256812	33542.9593811434	-10876.7611313984
400	Liouville	0.90	219	-9.809642109274864e1	-1.984686790782812e0	0.0000000000	-5665.0118515675	20757.4979565264	-25248.5289121901	10109.1340887048
500	Möbius	0.90	268	-5.073119407892227e1	-8.693325987530638e-1	0.0000000000	34655.6308256447	-67935.6935166170	59543.6595103001	-19510.8544318700
500	Liouville	0.90	268	-1.090729095935822e2	-2.042954607291358e0	0.0000000000	-6275.9116284420	22846.2422544800	-27607.6954131748	10989.3586418377
