N	PR	PR_over_N	v_inf	v_inf_times_sqrtN
10	2.6101327840e0	0.2610132784	7.183413560053142e-1	2.1550240680
20	2.2521857115e0	0.1126092856	7.994004250983995e-1	3.4845056684
30	2.4660405349e0	0.0822013512	7.812799739048286e-1	4.2073214200
50	2.6894027912e0	0.0537880558	7.692774999586993e-1	5.3849424997
75	4.1886149648e0	0.0558481995	6.570726065091660e-1	5.6523522853
100	4.0825761442e0	0.0408257614	6.604461634906774e-1	6.5713563556
150	6.1271072894e0	0.0408473819	5.836402906464856e-1	7.1242376674
200	5.7722023679e0	0.0288610118	6.005593579359633e-1	8.4719323025
250	3.9682975503e0	0.0158731902	6.933194471357441e-1	10.9403963406
300	3.8842830383e0	0.0129476101	6.979777460560340e-1	12.0691634865
400	3.1726527892e0	0.0079316320	7.265915441836338e-1	14.5136547279
500	6.9458457096e0	0.0138916914	5.151956433143313e-1	11.5085989110
