N	f_norm_sq	one_f_inner	d2_selberg	d2_mobius
10	4.244628858124274e-1	6.626836008311073e-1	9.909568415021269e-2	2.172727959284152e0
20	3.856703533960112e-1	6.228055415275084e-1	1.400592703409944e-1	2.172727959284152e0
30	3.484360567727464e-1	5.868153881245419e-1	1.748052805236626e-1	2.420834676743626e0
50	3.048295340164228e-1	5.426123954519125e-1	2.196047431125978e-1	2.377506154579008e0
75	2.678719823053760e-1	5.049480309590646e-1	2.579759203872468e-1	2.377506154579008e0
100	2.440972758995809e-1	4.798554448640888e-1	2.843863861714033e-1	2.294064581117938e0
150	2.171446345500332e-1	4.497082501369066e-1	3.177281342762200e-1	2.364866883992533e0
200	1.979311388419063e-1	4.279779394625590e-1	3.419752599167883e-1	2.371039164820110e0
250	1.853770915566633e-1	4.131137058422380e-1	3.591496798721873e-1	2.328503445331314e0
300	1.762016883330099e-1	4.019088143821776e-1	3.723840595686547e-1	2.362749891328963e0
400	1.617157186449993e-1	3.841346876477171e-1	3.934463433495652e-1	2.391437508223255e0
500	1.514865056131794e-1	3.712025960513604e-1	4.090813135104587e-1	2.345034177742375e0
