N	b_dot_vmin	PR	PR_over_N	v_inf	v_inf_sqrt_N	peak_k	peak_ratio
10	3.748692038736423e-2	2.6102409182e0	0.2610240918	7.183425035694383e-1	2.1550275107	9	0.900000
20	-1.381400159518077e-3	2.2525736588e0	0.1126286829	7.993162362565672e-1	3.4841386978	18	0.900000
30	-3.197003401943579e-3	2.4641799060e0	0.0821393302	7.815622604592842e-1	4.2088415796	28	0.933333
50	1.296437259331831e-3	2.6831010912e0	0.0536620218	7.697735391046734e-1	5.3884147737	48	0.960000
75	9.294243493521703e-4	4.1957487537e0	0.0559433167	6.570578306803966e-1	5.6522251788	72	0.960000
100	-3.921513112418590e-4	4.0051987621e0	0.0400519876	6.688880538593336e-1	6.6553521042	96	0.960000
150	5.961891786315232e-4	4.7332956380e0	0.0315553043	6.554512296718744e-1	8.0008018884	144	0.960000
200	1.105476672878802e-4	3.6155172725e0	0.0180775864	7.073382264633190e-1	9.9782336090	198	0.990000
250	-2.510968604787223e-4	8.5197050782e0	0.0340788203	4.555010594634580e-1	7.1876854813	246	0.984000
300	-1.470437727567400e-4	1.1774823657e1	0.0392494122	4.580009363865375e-1	7.9195765330	294	0.980000
400	8.694617114904379e-5	8.2539490315e0	0.0206348726	5.307286781409440e-1	10.6012970428	396	0.990000
500	-6.183051199544487e-5	8.2430742087e0	0.0164861484	5.415482623981638e-1	12.0972718302	480	0.960000
