N	sieve	D	ell	d2_N	f_norm_sq	one_f_inner
10	Selberg	3	1	1.435281620510719e-1	4.616284889400326e-1	6.590501634444803e-1
10	GPY	4	2	1.158919136473623e-1	5.351618874510932e-1	7.096349869018654e-1
10	Maynard	7	3	1.259157932000585e-1	5.058574647858594e-1	6.899708357929004e-1
10	Liouville	7	3	1.240733669626723e-1	5.112534860534736e-1	6.935900595454007e-1
20	Selberg	4	1	1.664354072268560e-1	4.389414686664195e-1	6.362530307197818e-1
20	GPY	7	2	1.361952409997915e-1	5.134457212626153e-1	6.886252401314119e-1
20	Maynard	14	3	1.347321600522978e-1	5.172215729655444e-1	6.912447064566233e-1
20	Liouville	14	3	1.256659958498308e-1	5.489359603681191e-1	7.116349822591441e-1
30	Selberg	5	1	1.989598866641967e-1	3.918320493824590e-1	5.964360813591312e-1
30	GPY	9	2	1.514322549156039e-1	4.975584817769422e-1	6.730631134306692e-1
30	Maynard	21	3	1.523545971581882e-1	4.941260488035857e-1	6.708857258226988e-1
30	Liouville	21	3	1.378256898515157e-1	5.437154084130299e-1	7.029448592807571e-1
50	Selberg	7	1	2.607709567507104e-1	3.080569993484075e-1	5.236430212988485e-1
50	GPY	13	2	1.816079240586105e-1	4.503786854409623e-1	6.343853806911759e-1
50	Maynard	33	3	1.754190208683533e-1	4.648028519820906e-1	6.446919155568687e-1
50	Liouville	33	3	1.541869688012616e-1	5.346222971076147e-1	6.902176641531765e-1
75	Selberg	8	1	2.813827978418469e-1	2.890637427709978e-1	5.038404724645754e-1
75	GPY	17	2	2.053262403022960e-1	4.150061834689574e-1	6.048399715833307e-1
75	Maynard	48	3	1.974110144787338e-1	4.317451233252891e-1	6.171670544232777e-1
75	Liouville	48	3	1.696959062066949e-1	5.156142432145083e-1	6.729591685039067e-1
100	Selberg	10	1	3.218715305572228e-1	2.440968238584617e-1	4.611126466506194e-1
100	GPY	21	2	2.248634383217095e-1	3.850684950364663e-1	5.801025283573784e-1
100	Maynard	63	3	2.140736866846798e-1	4.061024363226105e-1	5.960143748189654e-1
100	Liouville	63	3	1.811831678851944e-1	4.987423168165385e-1	6.587795744656720e-1
150	Selberg	12	1	3.489458966517658e-1	2.207268083198819e-1	4.358904558340581e-1
150	GPY	28	2	2.513676037856688e-1	3.475218983580354e-1	5.480771472861833e-1
150	Maynard	90	3	2.360071324283486e-1	3.745057091275692e-1	5.692492883496103e-1
150	Liouville	90	3	1.961322448141658e-1	4.763498423929224e-1	6.401087987893783e-1
200	Selberg	14	1	3.732373851871917e-1	1.994649505537521e-1	4.131137826832802e-1
200	GPY	34	2	2.690152002791090e-1	3.242830951628272e-1	5.276339474418591e-1
200	Maynard	117	3	2.522002208536612e-1	3.515886427229400e-1	5.496942109346394e-1
200	Liouville	117	3	2.069137159198193e-1	4.588135773464594e-1	6.259499307133201e-1
250	Selberg	15	1	3.829808847399023e-1	1.921905886488781e-1	4.046048519544879e-1
250	GPY	39	2	2.813055193655786e-1	3.089379214841078e-1	5.138162010592646e-1
250	Maynard	143	3	2.645028453687138e-1	3.346950077842067e-1	5.350960812077464e-1
250	Liouville	143	3	2.149829179078534e-1	4.452729093513229e-1	6.151449957217348e-1
300	Selberg	17	1	4.003199736504648e-1	1.785239005131219e-1	3.891019634313286e-1
300	GPY	44	2	2.920172453733197e-1	2.957837788194154e-1	5.018832667230478e-1
300	Maynard	169	3	2.746527600550730e-1	3.211506565779860e-1	5.232489482614565e-1
300	Liouville	169	3	2.215725485955212e-1	4.341233814711183e-1	6.062754164377986e-1
400	Selberg	20	1	4.226997087095441e-1	1.617151409445059e-1	3.695077161174809e-1
400	GPY	54	2	3.099179486885725e-1	2.744451100384094e-1	4.822635806749185e-1
400	Maynard	219	3	2.901818819450943e-1	3.012072834095993e-1	5.055127007322525e-1
400	Liouville	219	3	2.315539937976617e-1	4.171908128874183e-1	5.928184095448783e-1
500	Selberg	22	1	4.351988443124167e-1	1.530187911342038e-1	3.589099734108935e-1
500	GPY	62	2	3.216744883274220e-1	2.613521978373520e-1	4.698388547549650e-1
500	Maynard	268	3	3.020718815267476e-1	2.865440436289818e-1	4.922360810511171e-1
500	Liouville	268	3	2.391194292990054e-1	4.043690633645417e-1	5.826248170327681e-1
