t	energy
0.5000	0.636834
0.5100	0.650842
0.5200	0.665056
0.5300	0.679471
0.5400	0.694085
0.5500	0.708895
0.5600	0.723898
0.5700	0.739092
0.5800	0.754473
0.5900	0.770039
0.6000	0.785787
0.6100	0.801715
0.6200	0.817818
0.6300	0.834095
0.6400	0.850542
0.6500	0.867157
0.6600	0.883936
0.6700	0.900876
0.6800	0.917974
0.6900	0.935226
0.7000	0.952630
0.7100	0.970180
0.7200	0.987875
0.7300	1.005708
0.7400	1.023678
0.7500	1.041779
0.7600	1.060007
0.7700	1.078357
0.7800	1.096826
0.7900	1.115408
0.8000	1.134098
0.8100	1.152891
0.8200	1.171783
0.8300	1.190767
0.8400	1.209838
0.8500	1.228992
0.8600	1.248222
0.8700	1.267522
0.8800	1.286888
0.8900	1.306313
0.9000	1.325791
0.9100	1.345317
0.9200	1.364885
0.9300	1.384490
0.9400	1.404126
0.9500	1.423787
0.9600	1.443467
0.9700	1.463163
0.9800	1.482868
0.9900	1.502577
1.0000	1.522286
1.0100	1.541990
1.0200	1.561685
1.0300	1.581366
1.0400	1.601030
1.0500	1.620672
1.0600	1.640289
1.0700	1.659877
1.0800	1.679435
1.0900	1.698958
1.1000	1.718444
1.1100	1.737891
1.1200	1.757296
1.1300	1.776658
1.1400	1.795975
1.1500	1.815245
1.1600	1.834466
1.1700	1.853638
1.1800	1.872759
1.1900	1.891828
1.2000	1.910843
1.2100	1.929805
1.2200	1.948712
1.2300	1.967563
1.2400	1.986358
1.2500	2.005094
1.2600	2.023772
1.2700	2.042390
1.2800	2.060946
1.2900	2.079441
1.3000	2.097871
1.3100	2.116236
1.3200	2.134533
1.3300	2.152761
1.3400	2.170918
1.3500	2.189000
1.3600	2.207007
1.3700	2.224934
1.3800	2.242779
1.3900	2.260538
1.4000	2.278209
1.4100	2.295788
1.4200	2.313271
1.4300	2.330654
1.4400	2.347933
1.4500	2.365105
1.4600	2.382164
1.4700	2.399107
1.4800	2.415930
1.4900	2.432628
1.5000	2.449196
1.5100	2.465631
1.5200	2.481927
1.5300	2.498082
1.5400	2.514091
1.5500	2.529950
1.5600	2.545655
1.5700	2.561204
1.5800	2.576591
1.5900	2.591816
1.6000	2.606874
1.6100	2.621763
1.6200	2.636482
1.6300	2.651027
1.6400	2.665398
1.6500	2.679594
1.6600	2.693613
1.6700	2.707455
1.6800	2.721119
1.6900	2.734607
1.7000	2.747917
1.7100	2.761052
1.7200	2.774011
1.7300	2.786797
1.7400	2.799410
1.7500	2.811852
1.7600	2.824126
1.7700	2.836233
1.7800	2.848176
1.7900	2.859957
1.8000	2.871579
1.8100	2.883043
1.8200	2.894353
1.8300	2.905510
1.8400	2.916518
1.8500	2.927379
1.8600	2.938094
1.8700	2.948666
1.8800	2.959097
1.8900	2.969389
1.9000	2.979542
1.9100	2.989558
1.9200	2.999439
1.9300	3.009184
1.9400	3.018794
1.9500	3.028269
1.9600	3.037609
1.9700	3.046814
1.9800	3.055882
1.9900	3.064813
2.0000	3.073605
2.0100	3.082256
2.0200	3.090766
2.0300	3.099130
2.0400	3.107348
2.0500	3.115416
2.0600	3.123333
2.0700	3.131095
2.0800	3.138699
2.0900	3.146144
2.1000	3.153424
2.1100	3.160539
2.1200	3.167485
2.1300	3.174259
2.1400	3.180859
2.1500	3.187283
2.1600	3.193527
2.1700	3.199591
2.1800	3.205473
2.1900	3.211170
2.2000	3.216683
2.2100	3.222009
2.2200	3.227150
2.2300	3.232104
2.2400	3.236872
2.2500	3.241455
2.2600	3.245853
2.2700	3.250069
2.2800	3.254103
2.2900	3.257959
2.3000	3.261638
2.3100	3.265144
2.3200	3.268479
2.3300	3.271647
2.3400	3.274651
2.3500	3.277496
2.3600	3.280186
2.3700	3.282724
2.3800	3.285116
2.3900	3.287365
2.4000	3.289476
2.4100	3.291453
2.4200	3.293301
2.4300	3.295025
2.4400	3.296627
2.4500	3.298113
2.4600	3.299486
2.4700	3.300749
2.4800	3.301907
2.4900	3.302961
2.5000	3.303915
2.5100	3.304771
2.5200	3.305532
2.5300	3.306198
2.5400	3.306771
2.5500	3.307252
2.5600	3.307641
2.5700	3.307939
2.5800	3.308145
2.5900	3.308259
2.6000	3.308279
2.6100	3.308205
2.6200	3.308034
2.6300	3.307766
2.6400	3.307397
2.6500	3.306926
2.6600	3.306350
2.6700	3.305666
2.6800	3.304873
2.6900	3.303966
2.7000	3.302944
2.7100	3.301803
2.7200	3.300541
2.7300	3.299156
2.7400	3.297645
2.7500	3.296006
2.7600	3.294237
2.7700	3.292336
2.7800	3.290303
2.7900	3.288136
2.8000	3.285835
2.8100	3.283398
2.8200	3.280828
2.8300	3.278123
2.8400	3.275285
2.8500	3.272315
2.8600	3.269215
2.8700	3.265988
2.8800	3.262635
2.8900	3.259160
2.9000	3.255566
2.9100	3.251857
2.9200	3.248036
2.9300	3.244108
2.9400	3.240078
2.9500	3.235949
2.9600	3.231727
2.9700	3.227417
2.9800	3.223023
2.9900	3.218551
3.0000	3.214006
3.0100	3.209392
3.0200	3.204715
3.0300	3.199978
3.0400	3.195188
3.0500	3.190347
3.0600	3.185461
3.0700	3.180531
3.0800	3.175563
3.0900	3.170558
3.1000	3.165520
3.1100	3.160451
3.1200	3.155352
3.1300	3.150224
3.1400	3.145069
3.1500	3.139887
3.1600	3.134677
3.1700	3.129441
3.1800	3.124176
3.1900	3.118881
3.2000	3.113555
3.2100	3.108196
3.2200	3.102802
3.2300	3.097370
3.2400	3.091897
3.2500	3.086380
3.2600	3.080817
3.2700	3.075203
3.2800	3.069537
3.2900	3.063814
3.3000	3.058031
3.3100	3.052186
3.3200	3.046274
3.3300	3.040294
3.3400	3.034242
3.3500	3.028116
3.3600	3.021915
3.3700	3.015636
3.3800	3.009277
3.3900	3.002839
3.4000	2.996320
3.4100	2.989720
3.4200	2.983039
3.4300	2.976279
3.4400	2.969440
3.4500	2.962523
3.4600	2.955532
3.4700	2.948467
3.4800	2.941333
3.4900	2.934133
3.5000	2.926869
3.5100	2.919546
3.5200	2.912169
3.5300	2.904741
3.5400	2.897267
3.5500	2.889753
3.5600	2.882202
3.5700	2.874621
3.5800	2.867014
3.5900	2.859385
3.6000	2.851741
3.6100	2.844086
3.6200	2.836424
3.6300	2.828759
3.6400	2.821097
3.6500	2.813440
3.6600	2.805793
3.6700	2.798158
3.6800	2.790538
3.6900	2.782935
3.7000	2.775352
3.7100	2.767789
3.7200	2.760247
3.7300	2.752727
3.7400	2.745230
3.7500	2.737753
3.7600	2.730297
3.7700	2.722860
3.7800	2.715440
3.7900	2.708034
3.8000	2.700642
3.8100	2.693258
3.8200	2.685881
3.8300	2.678507
3.8400	2.671132
3.8500	2.663752
3.8600	2.656364
3.8700	2.648964
3.8800	2.641547
3.8900	2.634110
3.9000	2.626650
3.9100	2.619162
3.9200	2.611644
3.9300	2.604091
3.9400	2.596502
3.9500	2.588873
3.9600	2.581203
3.9700	2.573490
3.9800	2.565732
3.9900	2.557928
4.0000	2.550079
4.0100	2.542183
4.0200	2.534242
4.0300	2.526257
4.0400	2.518228
4.0500	2.510159
4.0600	2.502050
4.0700	2.493906
4.0800	2.485728
4.0900	2.477522
4.1000	2.469290
4.1100	2.461036
4.1200	2.452766
4.1300	2.444483
4.1400	2.436193
4.1500	2.427901
4.1600	2.419610
4.1700	2.411327
4.1800	2.403056
