j	k	T	abs_error	rate	digits
2	2	500	1.665935e-6	—	5.8
2	2	1000	4.165750e-7	T^-2.0	6.4
2	2	2000	1.041551e-7	T^-2.0	7.0
2	2	5000	1.666583e-8	T^-2.0	7.8
2	2	10000	4.166471e-9	T^-2.0	8.4
2	2	20000	1.041551e-9	T^-2.0	9.0
2	2	50000	1.665618e-10	T^-2.0	9.8
2	2	100000	4.156241e-11	T^-2.0	10.4
2	2	200000	1.031249e-11	T^-2.0	11.0
2	2	500000	1.562499e-12	T^-2.1	11.8
2	2	1000000	3.124999e-13	T^-2.3	12.5
2	3	500	1.914807e-6	—	5.7
2	3	1000	2.291570e-7	T^-3.1	6.6
2	3	2000	1.197625e-7	T^-0.9	6.9
2	3	5000	1.916469e-8	T^-2.0	7.7
2	3	10000	2.291537e-9	T^-3.1	8.6
2	3	20000	1.197768e-9	T^-0.9	8.9
2	3	50000	1.915450e-10	T^-2.0	9.7
2	3	100000	2.279686e-11	T^-3.1	10.6
2	3	200000	1.185935e-11	T^-0.9	10.9
2	3	500000	1.796873e-12	T^-2.1	11.7
2	3	1000000	1.093750e-13	T^-4.0	13.0
6	10	500	1.412166e-6	—	5.9
6	10	1000	6.343361e-7	T^-1.2	6.2
6	10	2000	8.768734e-8	T^-2.9	7.1
6	10	5000	1.401187e-8	T^-2.0	7.9
6	10	10000	6.334269e-9	T^-1.1	8.2
6	10	20000	8.750991e-10	T^-2.9	9.1
6	10	50000	1.399244e-10	T^-2.0	9.9
6	10	100000	6.324686e-11	T^-1.1	10.2
6	10	200000	8.662686e-12	T^-2.9	11.1
6	10	500000	1.312512e-12	T^-2.1	11.9
6	10	1000000	5.458342e-13	T^-1.3	12.3
12	12	500	7.353062e-7	—	6.1
12	12	1000	1.247555e-7	T^-2.6	6.9
12	12	2000	4.664327e-8	T^-1.4	7.3
12	12	5000	7.485099e-9	T^-2.0	8.1
12	12	10000	1.228872e-9	T^-2.6	8.9
12	12	20000	4.684708e-10	T^-1.4	9.3
12	12	50000	7.493825e-11	T^-2.0	10.1
12	12	100000	1.222371e-11	T^-2.6	10.9
12	12	200000	4.640393e-12	T^-1.4	11.3
12	12	500000	7.031104e-13	T^-2.1	12.2
12	12	1000000	7.581248e-14	T^-3.2	13.1
100	100	500	3.343017e-5	—	4.5
100	100	1000	8.436395e-6	T^-2.0	5.1
100	100	2000	2.117553e-6	T^-2.0	5.7
100	100	5000	3.395419e-7	T^-2.0	6.5
100	100	10000	8.494188e-8	T^-2.0	7.1
100	100	20000	2.124097e-8	T^-2.0	7.7
100	100	50000	3.397443e-9	T^-2.0	8.5
100	100	100000	8.478227e-10	T^-2.0	9.1
100	100	200000	2.103689e-10	T^-2.0	9.7
100	100	500000	3.187469e-11	T^-2.1	10.5
100	100	1000000	6.374976e-12	T^-2.3	11.2
1000	1000	500	9.232764e-5	—	4.0
1000	1000	1000	7.283863e-5	T^-0.3	4.1
1000	1000	2000	1.975256e-5	T^-1.9	4.7
1000	1000	5000	3.282939e-6	T^-2.0	5.5
1000	1000	10000	8.286100e-7	T^-2.0	6.1
1000	1000	20000	2.079832e-7	T^-2.0	6.7
1000	1000	50000	3.333335e-8	T^-2.0	7.5
1000	1000	100000	8.323487e-9	T^-2.0	8.1
1000	1000	200000	2.065926e-9	T^-2.0	8.7
1000	1000	500000	3.130811e-10	T^-2.1	9.5
1000	1000	1000000	6.262013e-11	T^-2.3	10.2
