a	b	two_tile_rows	fraction	max_corrected_err	C_exact	C_old	delta_m2	single_ok	corrected_ok
1	2	0	0.000000	0.00e0	0.416661	0.416661	0.000000	true	true
1	3	0	0.000000	0.00e0	0.444438	0.444438	0.000000	true	true
2	3	33334	0.333340	0.00e0	0.194442	0.277774	0.187497	true	true
1	4	0	0.000000	0.00e0	0.458327	0.458327	0.000000	true	true
3	4	50000	0.500000	0.00e0	0.124998	0.208330	0.148146	true	true
1	5	0	0.000000	0.00e0	0.466660	0.466660	0.000000	true	true
2	5	20000	0.200000	0.00e0	0.216664	0.266663	0.187497	true	true
3	5	40000	0.400000	0.00e0	0.133331	0.199997	0.148146	true	true
4	5	60000	0.600000	0.00e0	0.091665	0.166664	0.117186	true	true
1	6	0	0.000000	0.00e0	0.472216	0.472216	0.000000	true	true
5	6	66668	0.666680	0.00e0	0.072221	0.138887	0.095999	true	true
1	7	0	0.000000	0.00e0	0.476184	0.476184	0.000000	true	true
2	7	14286	0.142860	0.00e0	0.226187	0.261901	0.187497	true	true
3	7	28572	0.285720	0.00e0	0.142855	0.190474	0.148146	true	true
4	7	42858	0.428580	0.00e0	0.101189	0.154760	0.117186	true	true
5	7	57144	0.571440	0.00e0	0.076189	0.133331	0.095999	true	true
6	7	71430	0.714300	0.00e0	0.059523	0.119046	0.081017	true	true
1	8	0	0.000000	0.00e0	0.479160	0.479160	0.000000	true	true
3	8	25000	0.250000	0.00e0	0.145831	0.187497	0.148146	true	true
5	8	50000	0.500000	0.00e0	0.079166	0.129165	0.095999	true	true
7	8	75000	0.750000	0.00e0	0.050594	0.104165	0.069970	true	true
1	9	0	0.000000	0.00e0	0.481475	0.481475	0.000000	true	true
2	9	11111	0.111110	0.00e0	0.231478	0.259256	0.187497	true	true
4	9	33333	0.333330	0.00e0	0.106480	0.148146	0.117186	true	true
5	9	44445	0.444450	0.00e0	0.081480	0.125924	0.095999	true	true
7	9	66667	0.666670	0.00e0	0.052909	0.100528	0.069970	true	true
8	9	77778	0.777780	0.00e0	0.043981	0.092591	0.061523	true	true
1	10	0	0.000000	0.00e0	0.483327	0.483327	0.000000	true	true
3	10	20000	0.200000	0.00e0	0.149998	0.183331	0.148146	true	true
7	10	60000	0.600000	0.00e0	0.054761	0.097618	0.069970	true	true
9	10	80000	0.800000	0.00e0	0.038888	0.083332	0.054869	true	true
1	11	0	0.000000	0.00e0	0.484842	0.484842	0.000000	true	true
2	11	9091	0.090910	0.00e0	0.234845	0.257572	0.187497	true	true
3	11	18182	0.181820	0.00e0	0.151513	0.181816	0.148146	true	true
4	11	27273	0.272730	0.00e0	0.109847	0.143937	0.117186	true	true
5	11	36364	0.363640	0.00e0	0.084847	0.121210	0.095999	true	true
6	11	45455	0.454550	0.00e0	0.068181	0.106059	0.081017	true	true
7	11	54546	0.545460	0.00e0	0.056276	0.095237	0.069970	true	true
8	11	63637	0.636370	0.00e0	0.047348	0.087120	0.061523	true	true
9	11	72728	0.727280	0.00e0	0.040403	0.080807	0.054869	true	true
10	11	81819	0.818190	0.00e0	0.034848	0.075757	0.049499	true	true
1	12	0	0.000000	0.00e0	0.486105	0.486105	0.000000	true	true
5	12	33334	0.333340	0.00e0	0.086110	0.119443	0.095999	true	true
7	12	50000	0.500000	0.00e0	0.057539	0.093253	0.069970	true	true
11	12	83334	0.833340	0.00e0	0.031565	0.069443	0.045078	true	true
1	13	0	0.000000	0.00e0	0.487173	0.487173	0.000000	true	true
2	13	7692	0.076920	0.00e0	0.237176	0.256407	0.187497	true	true
3	13	15385	0.153850	0.00e0	0.153844	0.179485	0.148146	true	true
4	13	23077	0.230770	0.00e0	0.112178	0.141024	0.117186	true	true
5	13	30769	0.307690	0.00e0	0.087178	0.117947	0.095999	true	true
6	13	38462	0.384620	0.00e0	0.070512	0.102563	0.081017	true	true
7	13	46154	0.461540	0.00e0	0.058607	0.091574	0.069970	true	true
8	13	53847	0.538470	0.00e0	0.049679	0.083332	0.061523	true	true
9	13	61539	0.615390	0.00e0	0.042734	0.076922	0.054869	true	true
10	13	69231	0.692310	0.00e0	0.037179	0.071794	0.049499	true	true
11	13	76924	0.769240	0.00e0	0.032634	0.067598	0.045078	true	true
12	13	84616	0.846160	0.00e0	0.028846	0.064102	0.041377	true	true
1	14	0	0.000000	0.00e0	0.488089	0.488089	0.000000	true	true
3	14	14286	0.142860	0.00e0	0.154760	0.178569	0.148146	true	true
5	14	28572	0.285720	0.00e0	0.088094	0.116665	0.095999	true	true
9	14	57144	0.571440	0.00e0	0.043650	0.075396	0.054869	true	true
11	14	71430	0.714300	0.00e0	0.033549	0.066016	0.045078	true	true
13	14	85716	0.857160	0.00e0	0.026556	0.059523	0.038233	true	true
1	15	0	0.000000	0.00e0	0.488882	0.488882	0.000000	true	true
2	15	6667	0.066670	0.00e0	0.238886	0.255552	0.187497	true	true
4	15	20000	0.200000	0.00e0	0.113887	0.138887	0.117186	true	true
7	15	40001	0.400010	0.00e0	0.060317	0.088888	0.069970	true	true
8	15	46667	0.466670	0.00e0	0.051388	0.080554	0.061523	true	true
11	15	66668	0.666680	0.00e0	0.034343	0.064646	0.045078	true	true
13	15	80001	0.800010	0.00e0	0.027350	0.058119	0.038233	true	true
14	15	86668	0.866680	0.00e0	0.024603	0.055555	0.035532	true	true
1	16	0	0.000000	0.00e0	0.489577	0.489577	0.000000	true	true
3	16	12500	0.125000	0.00e0	0.156248	0.177081	0.148146	true	true
5	16	25000	0.250000	0.00e0	0.089582	0.114582	0.095999	true	true
7	16	37500	0.375000	0.00e0	0.061011	0.087796	0.069970	true	true
9	16	50000	0.500000	0.00e0	0.045138	0.072916	0.054869	true	true
11	16	62500	0.625000	0.00e0	0.035037	0.063446	0.045078	true	true
13	16	75000	0.750000	0.00e0	0.028044	0.056890	0.038233	true	true
15	16	87500	0.875000	0.00e0	0.022916	0.052083	0.033185	true	true
1	17	0	0.000000	0.00e0	0.490190	0.490190	0.000000	true	true
2	17	5882	0.058820	0.00e0	0.240193	0.254899	0.187497	true	true
3	17	11765	0.117650	0.00e0	0.156861	0.176468	0.148146	true	true
4	17	17647	0.176470	0.00e0	0.115195	0.137253	0.117186	true	true
5	17	23530	0.235300	0.00e0	0.090195	0.113724	0.095999	true	true
6	17	29412	0.294120	0.00e0	0.073528	0.098038	0.081017	true	true
7	17	35294	0.352940	0.00e0	0.061624	0.086834	0.069970	true	true
8	17	41177	0.411770	0.00e0	0.052695	0.078430	0.061523	true	true
9	17	47059	0.470590	0.00e0	0.045751	0.071894	0.054869	true	true
10	17	52942	0.529420	0.00e0	0.040196	0.066666	0.049499	true	true
11	17	58824	0.588240	0.00e0	0.035650	0.062388	0.045078	true	true
12	17	64706	0.647060	0.00e0	0.031862	0.058823	0.041377	true	true
13	17	70589	0.705890	0.00e0	0.028657	0.055806	0.038233	true	true
14	17	76471	0.764710	0.00e0	0.025910	0.053221	0.035532	true	true
15	17	82354	0.823540	0.00e0	0.023529	0.050980	0.033185	true	true
16	17	88236	0.882360	0.00e0	0.021446	0.049019	0.031128	true	true
1	18	0	0.000000	0.00e0	0.490734	0.490734	0.000000	true	true
5	18	22223	0.222230	0.00e0	0.090739	0.112961	0.095999	true	true
7	18	33334	0.333340	0.00e0	0.062168	0.085978	0.069970	true	true
11	18	55556	0.555560	0.00e0	0.036195	0.061447	0.045078	true	true
13	18	66667	0.666670	0.00e0	0.029202	0.054843	0.038233	true	true
17	18	88890	0.888900	0.00e0	0.020152	0.046296	0.029310	true	true
1	19	0	0.000000	0.00e0	0.491221	0.491221	0.000000	true	true
2	19	5263	0.052630	0.00e0	0.241225	0.254383	0.187497	true	true
3	19	10526	0.105260	0.00e0	0.157893	0.175436	0.148146	true	true
4	19	15789	0.157890	0.00e0	0.116226	0.135963	0.117186	true	true
5	19	21053	0.210530	0.00e0	0.091227	0.112279	0.095999	true	true
6	19	26316	0.263160	0.00e0	0.074560	0.096490	0.081017	true	true
7	19	31579	0.315790	0.00e0	0.062656	0.085212	0.069970	true	true
8	19	36842	0.368420	0.00e0	0.053727	0.076753	0.061523	true	true
9	19	42105	0.421050	0.00e0	0.046783	0.070174	0.054869	true	true
10	19	47369	0.473690	0.00e0	0.041227	0.064911	0.049499	true	true
11	19	52632	0.526320	0.00e0	0.036682	0.060605	0.045078	true	true
12	19	57895	0.578950	0.00e0	0.032894	0.057017	0.041377	true	true
13	19	63158	0.631580	0.00e0	0.029689	0.053980	0.038233	true	true
14	19	68421	0.684210	0.00e0	0.026942	0.051378	0.035532	true	true
15	19	73685	0.736850	0.00e0	0.024561	0.049122	0.033185	true	true
16	19	78948	0.789480	0.00e0	0.022478	0.047148	0.031128	true	true
17	19	84211	0.842110	0.00e0	0.020640	0.045407	0.029310	true	true
18	19	89474	0.894740	0.00e0	0.019006	0.043859	0.027692	true	true
1	20	0	0.000000	0.00e0	0.491660	0.491660	0.000000	true	true
3	20	10000	0.100000	0.00e0	0.158331	0.174998	0.148146	true	true
7	20	30000	0.300000	0.00e0	0.063094	0.084523	0.069970	true	true
9	20	40000	0.400000	0.00e0	0.047222	0.069443	0.054869	true	true
11	20	50000	0.500000	0.00e0	0.037121	0.059848	0.045078	true	true
13	20	60000	0.600000	0.00e0	0.030128	0.053204	0.038233	true	true
17	20	80000	0.800000	0.00e0	0.021078	0.044607	0.029310	true	true
19	20	90000	0.900000	0.00e0	0.017982	0.041666	0.026243	true	true
