a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	telescope_lg_err	telescope_psi_err	beta_duality_pw	beta_duality_sum_err	sum_pcl	delta_target	identity_err	certified
2	3	1	true	true	true	1.110223e-16	4.440892e-16	1.065814e-14	2.398082e-14	5.551115e-17	0.000000e0	true	0.000000e0	-7.852743342594137e-2	-7.852743342594003e-2	1.346145e-15	true
3	4	2	true	true	true	4.440892e-16	4.440892e-16	2.398082e-14	3.463896e-14	1.110223e-16	0.000000e0	true	2.775558e-17	-7.709695074449495e-2	-7.709695074449417e-2	7.771561e-16	true
2	5	1	true	true	true	1.110223e-16	4.440892e-16	1.065814e-14	4.618528e-14	2.220446e-16	2.220446e-16	true	0.000000e0	-3.117912233948419e-2	-3.117912233948214e-2	2.053913e-15	true
3	5	2	true	true	true	4.440892e-16	4.440892e-16	2.398082e-14	4.618528e-14	0.000000e0	4.440892e-16	true	0.000000e0	-4.668053403465472e-2	-4.668053403465350e-2	1.214306e-15	true
4	5	3	true	true	true	4.440892e-16	4.440892e-16	3.463896e-14	4.618528e-14	4.440892e-16	8.881784e-16	true	2.775558e-17	-6.847435277131278e-2	-6.847435277131236e-2	4.163336e-16	true
5	6	4	true	true	true	4.440892e-16	4.440892e-16	4.618528e-14	5.684342e-14	2.220446e-16	0.000000e0	true	2.775558e-17	-6.026555419918257e-2	-6.026555419918236e-2	2.151057e-16	true
2	7	1	true	true	true	1.110223e-16	8.881784e-16	1.065814e-14	7.105427e-14	0.000000e0	0.000000e0	true	0.000000e0	-1.665058480777216e-2	-1.665058480776997e-2	2.192690e-15	true
3	7	2	true	true	true	4.440892e-16	8.881784e-16	2.398082e-14	7.105427e-14	1.110223e-16	8.881784e-16	true	2.775558e-17	-2.887326712353399e-2	-2.887326712353271e-2	1.276756e-15	true
4	7	3	true	true	true	4.440892e-16	8.881784e-16	3.463896e-14	7.105427e-14	2.220446e-16	8.881784e-16	true	2.775558e-17	-3.052673581648713e-2	-3.052673581648650e-2	6.245005e-16	true
5	7	4	true	true	true	4.440892e-16	8.881784e-16	4.618528e-14	7.105427e-14	4.440892e-16	1.776357e-15	true	2.775558e-17	-4.437335649113406e-2	-4.437335649113378e-2	2.775558e-16	true
6	7	5	true	true	true	4.440892e-16	8.881784e-16	5.684342e-14	7.105427e-14	0.000000e0	3.552714e-15	true	1.387779e-17	-5.339704926729073e-2	-5.339704926729059e-2	1.387779e-16	true
3	8	2	true	true	true	4.440892e-16	8.881784e-16	2.398082e-14	8.881784e-14	4.440892e-16	0.000000e0	true	2.775558e-17	-1.938758208324571e-2	-1.938758208324425e-2	1.464107e-15	true
5	8	4	true	true	true	4.440892e-16	8.881784e-16	4.618528e-14	8.881784e-14	4.440892e-16	1.776357e-15	true	5.551115e-17	-3.420465748160204e-2	-3.420465748160155e-2	4.857226e-16	true
7	8	6	true	true	true	8.881784e-16	8.881784e-16	7.105427e-14	8.881784e-14	8.881784e-16	1.776357e-15	true	4.163336e-17	-4.776464736813563e-2	-4.776464736813544e-2	1.873501e-16	true
2	9	1	true	true	true	1.110223e-16	1.776357e-15	1.065814e-14	9.237056e-14	3.330669e-16	6.661338e-16	true	0.000000e0	-1.034238504919711e-2	-1.034238504919492e-2	2.192690e-15	true
