a	b	strip	stirling_b	ft_a	tsum_delta	formula	lhs	identity_err	gap_algebraic	gap_numerical	gap_match
2	3	1.666666666666667e-1	8.688713383593755e-2	9.941047553607343e-2	-7.346109635156954e-2	2.744368426127355e-1	2.795031796871081e-1	5.066337e-3	2.088304211013130e-2	2.594937918450390e-2	5.066337e-3
3	4	1.666666666666667e-1	6.516535037695316e-2	7.737956700862916e-2	-7.217797523070679e-2	2.321146333077535e-1	2.370336088215422e-1	4.918976e-3	2.826162641336539e-4	5.201591777922373e-3	4.918976e-3
2	5	1.000000000000000e-1	5.213228030156253e-2	9.545207616263608e-2	-2.759670563242957e-2	2.164052341247139e-1	2.199876508317690e-1	3.582417e-3	6.427295382315136e-2	6.785537053020652e-2	3.582417e-3
3	5	1.333333333333333e-1	5.213228030156253e-2	6.810469069610559e-2	-4.214202164173854e-2	2.068897702963464e-1	2.114282826892629e-1	4.538512e-3	2.142415666145056e-2	2.596266905436705e-2	4.538512e-3
4	5	1.500000000000000e-1	5.213228030156253e-2	6.371791059427563e-2	-6.324528891697427e-2	1.973758381245246e-1	2.026049019788639e-1	5.229064e-3	-4.756442177037889e-3	4.726216773013614e-4	5.229064e-3
5	6	1.333333333333333e-1	4.344356691796877e-2	5.434410740313941e-2	-5.639204727510842e-2	1.708554534552582e-1	1.747289603793331e-1	3.873507e-3	-5.921446796043921e-3	-2.047939871969009e-3	3.873507e-3
2	7	7.142857142857142e-2	3.723734307254466e-2	8.683742969093960e-2	-1.480925391325752e-2	1.788527593842831e-1	1.806940902787982e-1	1.841331e-3	7.018684488316700e-2	7.202817577768209e-2	1.841331e-3
3	7	9.523809523809523e-2	3.723734307254466e-2	6.953457120451181e-2	-2.579846978334903e-2	1.731367423916173e-1	1.762115397318027e-1	3.074797e-3	4.066130408097743e-2	4.373610142116279e-2	3.074797e-3
4	7	1.071428571428571e-1	3.723734307254466e-2	4.985923037151867e-2	-2.724478854231019e-2	1.637126947704327e-1	1.669946420446103e-1	3.281947e-3	1.933249455503089e-2	2.261444182920849e-2	3.281947e-3
5	7	1.142857142857143e-1	3.723734307254466e-2	4.687315514354618e-2	-4.050814372430422e-2	1.540228560106704e-1	1.578880687775009e-1	3.865213e-3	2.499798652411447e-3	6.365011419241957e-3	3.865213e-3
6	7	1.190476190476190e-1	3.723734307254466e-2	4.747865675523064e-2	-4.994828575523455e-2	1.503665696081029e-1	1.538153331201598e-1	3.448764e-3	-5.918392512060829e-3	-2.469629000003909e-3	3.448764e-3
