a	b	gram_integral	gram_formula	strip	sum_actual	sum_rowterm	sum_delta	stirling_over_b	fract_target_over_a	err_vs_formula	err_vs_decomp	n_two_tile	time_ms
1	2	0.271917880717524	0.272209255990873	0.000000000000000	0.271917880717524	0.271917880717524	0.000000000000000	0.130330700753906	0.141878555236967	2.913753e-4	2.913753e-4	500	12.0
1	3	0.241392635812655	0.241670136128851	0.000000000000000	0.241392635812655	0.241392635812655	-0.000000000000000	0.086887133835938	0.154783002292913	2.775003e-4	2.775003e-4	333	8.8
1	5	0.192212512169866	0.192478862338049	0.000000000000000	0.192212512169866	0.192212512169866	-0.000000000000000	0.052132280301563	0.140346582036486	2.663502e-4	2.663502e-4	200	12.0
1	7	0.160144727092479	0.160406037640771	0.000000000000000	0.160144727092479	0.160144727092479	0.000000000000000	0.037237343072545	0.123168694568226	2.613105e-4	2.613105e-4	143	13.0
2	3	0.274305019602567	0.274436842612735	0.166666666666667	0.107638352935900	0.186103428444734	-0.078465075508834	0.086887133835938	0.099410475536073	1.318230e-4	1.941809e-4	667	8.0
2	5	0.216276206899209	0.216405234124714	0.100000000000000	0.116276206899209	0.147417839729775	-0.031141632830566	0.052132280301563	0.095452076162636	1.290272e-4	1.665167e-4	400	10.1
2	7	0.178725004545074	0.178852759384283	0.071428571428571	0.107296433116502	0.123920266500922	-0.016623833384419	0.037237343072545	0.086837429690940	1.277548e-4	1.545063e-4	286	11.4
3	4	0.232029100752883	0.232114633307753	0.166666666666667	0.065362434086217	0.142399208964175	-0.077036774877958	0.065165350376953	0.077379567008629	8.553255e-5	1.457084e-4	750	9.0
3	5	0.206804688689175	0.206889770296346	0.133333333333333	0.073471355355841	0.120103765363237	-0.046632410007396	0.052132280301563	0.068104690696106	8.508161e-5	1.332056e-4	600	10.0
3	7	0.173052217042236	0.173136742391617	0.095238095238095	0.077814121804141	0.106653033173147	-0.028838911369006	0.037237343072545	0.069534571204512	8.452535e-5	1.188811e-4	429	11.2
4	5	0.197312386439058	0.197375838124525	0.150000000000000	0.047312386439058	0.115733615844849	-0.068421229405791	0.052132280301563	0.063717910594276	6.345169e-5	1.165751e-4	800	10.3
4	7	0.163649542463993	0.163712694770433	0.107142857142857	0.056506685321136	0.086995540514702	-0.030488855193566	0.037237343072545	0.049859230371519	6.315231e-5	1.010329e-4	572	11.4
5	6	0.170804945071993	0.170855453455258	0.133333333333333	0.037471611738660	0.097690588072487	-0.060218976333827	0.043443566917969	0.054344107403139	5.050838e-5	9.708625e-5	834	10.8
5	7	0.153972450188467	0.154022856010670	0.114285714285714	0.039686735902753	0.084020145715281	-0.044333409812528	0.037237343072545	0.046873155143546	5.040582e-5	9.035250e-5	715	11.9
5	9	0.135012393625887	0.135062697485324	0.088888888888889	0.046123504736998	0.067692380883550	-0.021568876146552	0.028962377945313	0.038811382628991	5.030386e-5	8.137969e-5	556	13.7
6	7	0.150324629198969	0.150366569608103	0.119047619047619	0.031277010151350	0.084632755747628	-0.053355745596278	0.037237343072545	0.047478656755231	4.194041e-5	8.324408e-5	858	12.8
7	8	0.134140629669773	0.134176502209685	0.107142857142857	0.026997772526916	0.074725417439714	-0.047727644912798	0.032582675188477	0.042215617246487	3.587254e-5	7.287500e-5	875	12.9
7	9	0.122328326925736	0.122364188483807	0.095238095238095	0.027090231687641	0.065408877021998	-0.038318645334357	0.028962377945313	0.036515201552403	3.586156e-5	6.870248e-5	778	14.5
