a	b	max_pointwise_err	total_exact	total_numerical	formula_err	n_classes
2	3	9.586600e-305	-7.846507550883383e-2	-7.846507550883383e-2	7.434945e-305	2
2	5	5.895792e-305	-3.114163283056622e-2	-3.114163283056622e-2	4.439744e-304	2
2	7	3.360557e-305	-1.662383338441934e-2	-1.662383338441934e-2	7.211517e-305	2
3	4	6.318093e-305	-7.703677487795839e-2	-7.703677487795839e-2	7.150205e-305	3
3	5	6.112061e-305	-4.663241000739596e-2	-4.663241000739596e-2	3.425178e-304	3
3	7	6.115992e-305	-2.883891136900568e-2	-2.883891136900568e-2	4.184841e-304	3
4	5	7.032176e-305	-6.842122940579122e-2	-6.842122940579122e-2	9.021771e-305	4
4	7	6.768162e-305	-3.048885519356556e-2	-3.048885519356556e-2	1.929695e-304	4
5	6	6.111133e-305	-6.021897633382741e-2	-6.021897633382741e-2	3.781430e-304	5
5	7	4.581648e-305	-4.433340981252795e-2	-4.433340981252795e-2	5.862896e-305	5
5	9	2.990847e-305	-2.156887614655191e-2	-2.156887614655191e-2	6.289794e-304	5
6	7	5.099069e-305	-5.335574559627847e-2	-5.335574559627847e-2	1.110979e-304	6
7	8	5.044944e-305	-4.772764491279815e-2	-4.772764491279815e-2	1.272634e-304	7
7	9	3.313550e-305	-3.831864533435719e-2	-3.831864533435719e-2	1.941874e-304	7
