j	k	gcd	a	b	ftc_value	series_value	formula_value	err_ftc_series	err_ftc_formula
1	2	1	1	2	2.722034227742043e-1	2.722092734890735e-1	2.722092559908731e-1	5.850715e-6	5.833217e-6
1	3	1	1	3	2.416645807510676e-1	2.416701594573556e-1	2.416701361288506e-1	5.578706e-6	5.555378e-6
1	4	1	1	4	2.143971148217846e-1	2.144025484540525e-1	2.144025313717860e-1	5.433632e-6	5.416550e-6
1	5	1	1	5	1.924735291313809e-1	1.924788803370616e-1	1.924788623380489e-1	5.351206e-6	5.333207e-6
1	6	1	1	6	1.748306373745208e-1	1.748359275799964e-1	1.748359150800768e-1	5.290205e-6	5.277706e-6
1	7	1	1	7	1.604007997836199e-1	1.604060495468289e-1	1.604060376407710e-1	5.249763e-6	5.237857e-6
1	8	1	1	8	1.483908801808083e-1	1.483961102214397e-1	1.483960883474764e-1	5.230041e-6	5.208167e-6
1	9	1	1	9	1.382349877393464e-1	1.382401850723385e-1	1.382401728541656e-1	5.197333e-6	5.185115e-6
1	10	1	1	10	1.295270387040806e-1	1.295322300062489e-1	1.295322051740821e-1	5.191302e-6	5.166470e-6
1	11	1	1	11	1.219705946377225e-1	1.219757561184343e-1	1.219757461225714e-1	5.161481e-6	5.151485e-6
1	12	1	1	12	1.153450258273362e-1	1.153501791949242e-1	1.153501646217912e-1	5.153368e-6	5.138794e-6
1	13	1	1	13	1.094830052946873e-1	1.094881444115413e-1	1.094881333946786e-1	5.139117e-6	5.128100e-6
1	14	1	1	14	1.042554066902700e-1	1.042605425315229e-1	1.042605257355054e-1	5.135841e-6	5.119045e-6
1	15	1	1	15	9.956099935029333e-2	9.956611646248348e-2	9.956611045250592e-2	5.117112e-6	5.111102e-6
2	3	1	2	3	2.744342037974556e-1	2.744368617775428e-1	2.744368426127355e-1	2.657980e-6	2.638815e-6
2	4	2	1	2	2.611017113871021e-1	2.611046454945695e-1	2.611046279954365e-1	2.934107e-6	2.916608e-6
2	5	1	2	5	2.164026508472127e-1	2.164052522886198e-1	2.164052341247139e-1	2.601441e-6	2.583278e-6
2	6	2	1	3	2.041656237088671e-1	2.041684113992185e-1	2.041684013977586e-1	2.787690e-6	2.777689e-6
2	7	1	2	7	1.788501999491610e-1	1.788527704564997e-1	1.788527593842831e-1	2.570507e-6	2.559435e-6
2	8	2	1	4	1.696985574108923e-1	1.697012886009563e-1	1.697012656858930e-1	2.731190e-6	2.708275e-6
2	9	1	2	9	1.531790912260727e-1	1.531816427586669e-1	1.531816374839429e-1	2.551533e-6	2.546258e-6
2	10	2	1	5	1.462367645656905e-1	1.462394571670045e-1	1.462394311690245e-1	2.692601e-6	2.666603e-6
2	11	1	2	11	1.345092527722723e-1	1.345117988355172e-1	1.345117905802274e-1	2.546063e-6	2.537808e-6
2	12	2	1	6	1.290819853539271e-1	1.290846333656087e-1	1.290846242067051e-1	2.648012e-6	2.638853e-6
2	13	1	2	13	1.202759485285528e-1	1.202784895743747e-1	1.202784805416941e-1	2.541046e-6	2.532013e-6
2	14	2	1	7	1.159146856060957e-1	1.159173212117922e-1	1.159173045346712e-1	2.635606e-6	2.618929e-6
2	15	1	2	15	1.090317139760763e-1	1.090342421957219e-1	1.090342416824683e-1	2.528220e-6	2.527706e-6
3	4	1	3	4	2.321129203910856e-1	2.321146462253273e-1	2.321146333077535e-1	1.725834e-6	1.712917e-6
3	5	1	3	5	2.068880666341232e-1	2.068897882977762e-1	2.068897702963464e-1	1.721664e-6	1.703662e-6
3	6	3	1	2	2.018455853691792e-1	2.018475472740918e-1	2.018475297747355e-1	1.961905e-6	1.944406e-6
3	7	1	3	7	1.731350493223034e-1	1.731367609581899e-1	1.731367423916173e-1	1.711636e-6	1.693069e-6
3	8	1	3	8	1.595778862225924e-1	1.595795974621984e-1	1.595795760003710e-1	1.711240e-6	1.689778e-6
3	9	3	1	3	1.546289343244300e-1	1.546308027790446e-1	1.546307861170243e-1	1.868455e-6	1.851793e-6
3	10	1	3	10	1.392411810392194e-1	1.392428860253948e-1	1.392428661869980e-1	1.704986e-6	1.685148e-6
3	11	1	3	11	1.308171146484480e-1	1.308188123596898e-1	1.308187981174722e-1	1.697711e-6	1.683469e-6
3	12	3	1	4	1.270212604961504e-1	1.270230847516709e-1	1.270230660128175e-1	1.824256e-6	1.805517e-6
3	13	1	3	13	1.173004973928140e-1	1.173021985091202e-1	1.173021782651799e-1	1.701116e-6	1.680872e-6
3	14	1	3	14	1.115217136447647e-1	1.115234152957944e-1	1.115233935127542e-1	1.701651e-6	1.679868e-6
3	15	3	1	5	1.086022874882381e-1	1.086040752339443e-1	1.086040652237941e-1	1.787746e-6	1.777736e-6
4	5	1	4	5	1.973745673272320e-1	1.973758588628435e-1	1.973758381245246e-1	1.291536e-6	1.270797e-6
4	6	2	2	3	1.788837685653945e-1	1.788850921439363e-1	1.788850879730344e-1	1.323579e-6	1.319408e-6
4	7	1	4	7	1.637114299262351e-1	1.637126993651498e-1	1.637126947704327e-1	1.269439e-6	1.264844e-6
4	8	4	1	2	1.618008556935511e-1	1.618023402449562e-1	1.618023139977183e-1	1.484551e-6	1.458304e-6
4	9	1	4	9	1.423409855215259e-1	1.423422491409358e-1	1.423422470703690e-1	1.263619e-6	1.261549e-6
4	10	2	2	5	1.332013254236064e-1	1.332026458851099e-1	1.332026170623569e-1	1.320462e-6	1.291639e-6
4	11	1	4	11	1.252731173978540e-1	1.252743794628444e-1	1.252743768417936e-1	1.262065e-6	1.259444e-6
