a	b	n_two_tile	beta_full	beta_once	s_perm	piece1_logG_beta	piece2_logG_alpha	piece3_digamma	piece1_gauss_err	sum_pcl	delta_target	identity_err
2	3	2	true	true	true	-2.861824714623500e-1	1.515751375737618e-1	5.607990046264612e-2	0.000000e0	-7.852743342594214e-2	-7.852743342594214e-2	3.978371e-125
2	5	2	true	true	true	-2.861824714623500e-1	1.991169290346174e-1	5.588642008824787e-2	0.000000e0	-3.117912233948473e-2	-3.117912233948473e-2	7.161068e-125
2	7	2	true	true	true	-2.861824714623500e-1	2.218879065181227e-1	4.764398013645469e-2	0.000000e0	-1.665058480777262e-2	-1.665058480777262e-2	8.525081e-125
2	9	2	true	true	true	-2.861824714623500e-1	2.352255515615524e-1	4.061453485160024e-2	0.000000e0	-1.034238504919740e-2	-1.034238504919740e-2	9.282866e-125
2	11	2	true	true	true	-2.861824714623500e-1	2.439825891830684e-1	3.515600349857499e-2	0.000000e0	-7.043878780706698e-3	-7.043878780706698e-3	9.765093e-125
2	13	2	true	true	true	-2.861824714623500e-1	2.501720599881432e-1	3.090553468929741e-2	0.000000e0	-5.104876784909403e-3	-5.104876784909403e-3	1.009894e-124
2	15	2	true	true	true	-2.861824714623500e-1	2.547785220468606e-1	2.753489530442977e-2	0.000000e0	-3.869054111059698e-3	-3.869054111059698e-3	1.034377e-124
2	17	2	true	true	true	-2.861824714623500e-1	2.583403093307309e-1	2.480889196274681e-2	0.000000e0	-3.033270168872313e-3	-3.033270168872313e-3	1.053098e-124
2	19	2	true	true	true	-2.861824714623500e-1	2.611765532081491e-1	2.256415060240742e-2	0.000000e0	-2.441767651793558e-3	-2.441767651793558e-3	1.067879e-124
3	4	3	true	true	true	-4.295236406917635e-1	2.585486314519985e-1	9.387805849526955e-2	2.781342e-309	-7.709695074449552e-2	-7.709695074449552e-2	1.989186e-125
3	5	3	true	true	true	-4.295236406917635e-1	3.162458320338738e-1	6.659727462323473e-2	2.781342e-309	-4.668053403465503e-2	-4.668053403465503e-2	3.182697e-125
3	7	3	true	true	true	-4.295236406917635e-1	3.233567548172853e-1	7.729361875094382e-2	2.781342e-309	-2.887326712353439e-2	-2.887326712353439e-2	4.546710e-125
3	8	3	true	true	true	-4.295236406917635e-1	3.554516445673143e-1	5.468441404120325e-2	2.781342e-309	-1.938758208324601e-2	-1.938758208324601e-2	4.972964e-125
3	10	3	true	true	true	-4.295236406917635e-1	3.525150214111501e-1	6.195246314727965e-2	2.781342e-309	-1.505615613333380e-2	-1.505615613333380e-2	5.569720e-125
3	11	3	true	true	true	-4.295236406917635e-1	3.745109438257275e-1	4.445288985197951e-2	2.781342e-309	-1.055980701405656e-2	-1.055980701405656e-2	5.786722e-125
3	13	3	true	true	true	-4.295236406917635e-1	3.691004132312491e-1	5.119127002687575e-2	2.781342e-309	-9.231957433638626e-3	-9.231957433638626e-3	6.120571e-125
3	14	3	true	true	true	-4.295236406917635e-1	3.857722022226493e-1	3.711925743964239e-2	2.781342e-309	-6.632181029471877e-3	-6.632181029471877e-3	6.251726e-125
3	16	3	true	true	true	-4.295236406917635e-1	3.798050182457696e-1	4.348177752744613e-2	2.781342e-309	-6.236844918547765e-3	-6.236844918547765e-3	6.464853e-125
3	17	3	true	true	true	-4.295236406917635e-1	3.932073339986595e-1	3.176719540471799e-2	2.781342e-309	-4.549111288386059e-3	-4.549111288386059e-3	6.552611e-125
3	19	3	true	true	true	-4.295236406917635e-1	3.872864142697527e-1	3.774227887914880e-2	2.781342e-309	-4.494947542862012e-3	-4.494947542862012e-3	6.700415e-125
3	20	3	true	true	true	-4.295236406917635e-1	3.984828245592997e-1	2.772767385968577e-2	2.781342e-309	-3.313142272778083e-3	-3.313142272778083e-3	6.763231e-125
4	5	4	true	true	true	-5.159171047635183e-1	3.367428385427141e-1	1.106999134494906e-1	0.000000e0	-6.847435277131353e-2	-6.847435277131353e-2	1.193511e-125
4	7	4	true	true	true	-5.159171047635183e-1	4.228591471631720e-1	6.253122178385846e-2	0.000000e0	-3.052673581648778e-2	-3.052673581648778e-2	2.557524e-125
4	9	4	true	true	true	-5.159171047635183e-1	4.074880242325905e-1	8.358519737604743e-2	0.000000e0	-2.484388315488035e-2	-2.484388315488035e-2	3.315309e-125
4	11	4	true	true	true	-5.159171047635183e-1	4.547508413106878e-1	4.823953564331051e-2	0.000000e0	-1.292672780951997e-2	-1.292672780951997e-2	3.797536e-125
4	13	4	true	true	true	-5.159171047635183e-1	4.381047910690604e-1	6.501388919587076e-2	0.000000e0	-1.279842449858703e-2	-1.279842449858703e-2	4.131385e-125
4	15	4	true	true	true	-5.159171047635183e-1	4.703687784780473e-1	3.844467319199583e-2	0.000000e0	-7.103653093475136e-3	-7.103653093475136e-3	4.376208e-125
4	17	4	true	true	true	-5.159171047635183e-1	4.552201598464867e-1	5.289956569247702e-2	0.000000e0	-7.797379224554474e-3	-7.797379224554474e-3	4.563426e-125
4	19	4	true	true	true	-5.159171047635183e-1	4.796346501145108e-1	3.179812454461863e-2	0.000000e0	-4.484330104388758e-3	-4.484330104388758e-3	4.711229e-125
5	6	5	true	true	true	-5.742070353203281e-1	3.964158992662192e-1	1.175255818549257e-1	0.000000e0	-6.026555419918333e-2	-6.026555419918333e-2	7.956742e-126
5	7	5	true	true	true	-5.742070353203281e-1	4.435462080136597e-1	8.628747081553373e-2	0.000000e0	-4.437335649113473e-2	-4.437335649113473e-2	1.364013e-125
5	8	5	true	true	true	-5.742070353203281e-1	4.614151340674104e-1	7.858724377131518e-2	0.000000e0	-3.420465748160258e-2	-3.420465748160258e-2	1.790267e-125
5	9	5	true	true	true	-5.742070353203281e-1	4.960424159324435e-1	5.656466741001648e-2	0.000000e0	-2.159995197786821e-2	-2.159995197786821e-2	2.121798e-125
5	11	5	true	true	true	-5.742070353203281e-1	4.685145018853865e-1	8.425317218469383e-2	0.000000e0	-2.143936125024785e-2	-2.143936125024785e-2	2.604025e-125
5	12	5	true	true	true	-5.742070353203281e-1	4.934581663673943e-1	6.381660071078311e-2	0.000000e0	-1.693226824215079e-2	-1.693226824215079e-2	2.784860e-125
5	13	5	true	true	true	-5.742070353203281e-1	5.018444984908098e-1	5.839702181029799e-2	0.000000e0	-1.396551501922039e-2	-1.396551501922039e-2	2.937874e-125
