j	k	gramEntry	gramIntegral	jk_gramIntegral	min_minus_1	correction	bridge_prediction	bridge_error	phantom_dist	phantom_bound	phantom_violated
1	2	2.375365265000191e-1	2.722092734890735e-1	5.444185469781471e-1	0.000000	3.068528194400547e-1	2.375657275380924e-1	2.920104e-5	1.246347e-2	1.000000e0	false
1	3	2.290600279405995e-1	2.416701594573556e-1	7.250104783720667e-1	0.000000	4.959226032237259e-1	2.290878751483407e-1	2.784721e-5	2.093997e-2	1.000000e0	false
1	4	2.247066568062576e-1	2.144025484540525e-1	8.576101938162098e-1	0.000000	6.328763858683832e-1	2.247338079478266e-1	2.715114e-5	2.529334e-2	1.000000e0	false
1	5	2.220654649120312e-1	1.924788803370616e-1	9.623944016853081e-1	0.000000	7.403021806115441e-1	2.220922210737640e-1	2.675616e-5	2.793454e-2	1.000000e0	false
1	6	2.202947054359100e-1	1.748359275799964e-1	1.049015565479978e0	0.000000	8.286943966417710e-1	2.203211688382072e-1	2.646340e-5	2.970529e-2	1.000000e0	false
1	7	2.190257558071737e-1	1.604060495468289e-1	1.122842346827802e0	0.000000	9.037903176782212e-1	2.190520291495808e-1	2.627334e-5	3.097424e-2	1.000000e0	false
2	3	2.341910023671253e-1	2.744368617775428e-1	1.646621170665257e0	1.000000	4.124036647676159e-1	2.342175058976412e-1	2.650353e-5	1.580900e-2	1.000000e0	false
2	4	2.623104747790062e-1	2.611046454945695e-1	2.088837163956556e0	1.000000	8.264973828303184e-1	2.623397811262378e-1	2.930635e-5	1.231047e-2	5.000000e-1	false
2	5	2.324913831154405e-1	2.164052522886198e-1	2.164052522886198e0	1.000000	9.315351250900283e-1	2.325173977961694e-1	2.601468e-5	1.750862e-2	1.000000e0	false
2	6	2.514873293492327e-1	2.041684113992185e-1	2.450020936790621e0	1.000000	1.198505709923870e0	2.515152268667513e-1	2.789752e-5	1.487329e-3	5.000000e-1	false
2	7	2.316959983062309e-1	1.788527704564997e-1	2.503938786390996e0	1.000000	1.272217038103492e0	2.317217482875045e-1	2.574998e-5	1.830400e-2	1.000000e0	false
3	4	2.363636683249289e-1	2.321146462253273e-1	2.785375754703928e0	2.000000	5.489862371667198e-1	2.363895175372082e-1	2.584921e-5	1.363633e-2	1.000000e0	false
3	5	2.361347744919312e-1	2.068897882977762e-1	3.103346824466644e0	2.000000	8.671862246199286e-1	2.361605998467150e-1	2.582535e-5	1.386523e-2	1.000000e0	false
3	6	2.716075602192366e-1	2.018475472740918e-1	3.633255850933653e0	2.000000	1.361618809267669e0	2.716370416659839e-1	2.948145e-5	2.160756e-2	3.333333e-1	false
3	7	2.363503513295657e-1	1.731367609581899e-1	3.635871980121989e0	2.000000	1.399495842267412e0	2.363761378545772e-1	2.578653e-5	1.364965e-2	1.000000e0	false
4	5	2.385673608898969e-1	1.973758588628435e-1	3.947517177256870e0	3.000000	7.089239851214255e-1	2.385931921354441e-1	2.583125e-5	1.143264e-2	1.000000e0	false
4	6	2.478464875268311e-1	1.788850921439363e-1	4.293242211454471e0	3.000000	1.045369235110716e0	2.478729763437548e-1	2.648882e-5	2.153512e-3	5.000000e-1	false
4	7	2.386341843251895e-1	1.637126993651498e-1	4.583955582224195e0	3.000000	1.345295971791567e0	2.386596104326280e-1	2.542611e-5	1.136582e-2	1.000000e0	false
5	6	2.403532591546226e-1	1.708554546344912e-1	5.125663639034736e0	4.000000	8.852850668781196e-1	2.403785721566161e-1	2.531300e-5	9.646741e-3	1.000000e0	false
5	7	2.397078697491663e-1	1.540228568692088e-1	5.390799990422308e0	4.000000	1.151066852671915e0	2.397331377503933e-1	2.526800e-5	1.029213e-2	1.000000e0	false
6	7	2.417680426948637e-1	1.503665846902952e-1	6.315396556992399e0	5.000000	1.073602682561724e0	2.417938744306747e-1	2.583174e-5	8.231957e-3	1.000000e0	false
