a	b	sd_numeric	sd_exact	tail_error	tail_predicted	ratio
2	3	-0.0779163951	-0.0785274334	6.110383e-4	-6.250000e-4	-0.9777
3	4	-0.0764960840	-0.0770969507	6.008668e-4	-6.018519e-4	-0.9984
2	5	-0.0308052378	-0.0311791223	3.738846e-4	-3.750000e-4	-0.9970
3	5	-0.0462015059	-0.0466805340	4.790282e-4	-4.814815e-4	-0.9949
4	5	-0.0679433310	-0.0684743528	5.310218e-4	-5.312500e-4	-0.9996
5	6	-0.0598076878	-0.0602655542	4.578664e-4	-4.666667e-4	-0.9811
2	7	-0.0163781482	-0.0166505848	2.724366e-4	-2.678571e-4	-1.0171
3	7	-0.0285371833	-0.0288732671	3.360838e-4	-3.439153e-4	-0.9772
4	7	-0.0301479669	-0.0305267358	3.787689e-4	-3.794643e-4	-0.9982
5	7	-0.0439786181	-0.0443733565	3.947384e-4	-4.000000e-4	-0.9868
6	7	-0.0529898575	-0.0533970493	4.071917e-4	-4.133598e-4	-0.9851
3	8	-0.0190857023	-0.0193875821	3.018798e-4	-3.009259e-4	-1.0032
5	8	-0.0338612963	-0.0342046575	3.433612e-4	-3.500000e-4	-0.9810
7	8	-0.0474027229	-0.0477646474	3.619245e-4	-3.698980e-4	-0.9784
2	9	-0.0101326790	-0.0103423850	2.097060e-4	-2.083333e-4	-1.0066
4	9	-0.0245452688	-0.0248438832	2.986143e-4	-2.951389e-4	-1.0118
5	9	-0.0212923871	-0.0215999520	3.075649e-4	-3.111111e-4	-0.9886
7	9	-0.0380265324	-0.0383514863	3.249539e-4	-3.287982e-4	-0.9883
8	9	-0.0427939843	-0.0431269865	3.330022e-4	-3.342014e-4	-0.9964
3	10	-0.0148153748	-0.0150561561	2.407813e-4	-2.407407e-4	-1.0002
7	10	-0.0299862221	-0.0302805588	2.943367e-4	-2.959184e-4	-0.9947
9	10	-0.0389618516	-0.0392680799	3.062283e-4	-3.045267e-4	-1.0056
2	11	-0.0068723588	-0.0070438788	1.715200e-4	-1.704545e-4	-1.0063
3	11	-0.0103405032	-0.0105598070	2.193038e-4	-2.188552e-4	-1.0020
4	11	-0.0126852998	-0.0129267278	2.414280e-4	-2.414773e-4	-0.9998
5	11	-0.0211812110	-0.0214393613	2.581502e-4	-2.545455e-4	-1.0142
6	11	-0.0159014181	-0.0161612904	2.598722e-4	-2.630471e-4	-0.9879
7	11	-0.0261535165	-0.0264200144	2.664979e-4	-2.690167e-4	-0.9906
8	11	-0.0295738081	-0.0298440769	2.702688e-4	-2.734375e-4	-0.9884
9	11	-0.0328313869	-0.0331055984	2.742114e-4	-2.768425e-4	-0.9905
10	11	-0.0357396656	-0.0360190846	2.794190e-4	-2.795455e-4	-0.9995
5	12	-0.0167023193	-0.0169322682	2.299490e-4	-2.333333e-4	-0.9855
7	12	-0.0197354844	-0.0199812956	2.458111e-4	-2.465986e-4	-0.9968
11	12	-0.0329982838	-0.0332521816	2.538979e-4	-2.582645e-4	-0.9831
2	13	-0.0049667407	-0.0051048768	1.381361e-4	-1.442308e-4	-0.9577
3	13	-0.0090537309	-0.0092319574	1.782266e-4	-1.851852e-4	-0.9624
4	13	-0.0126012744	-0.0127984245	1.971501e-4	-2.043269e-4	-0.9649
5	13	-0.0137510598	-0.0139655150	2.144552e-4	-2.153846e-4	-0.9957
6	13	-0.0185267311	-0.0187445073	2.177762e-4	-2.225783e-4	-0.9784
7	13	-0.0123717831	-0.0125941578	2.223746e-4	-2.276295e-4	-0.9769
8	13	-0.0204265369	-0.0206529362	2.263993e-4	-2.313702e-4	-0.9785
9	13	-0.0224986765	-0.0227312948	2.326183e-4	-2.342513e-4	-0.9930
10	13	-0.0260078632	-0.0262409504	2.330872e-4	-2.365385e-4	-0.9854
11	13	-0.0286893070	-0.0289226742	2.333672e-4	-2.383980e-4	-0.9789
12	13	-0.0306362800	-0.0308708840	2.346039e-4	-2.399395e-4	-0.9778
3	14	-0.0064584040	-0.0066321810	1.737770e-4	-1.719577e-4	-1.0106
5	14	-0.0090480498	-0.0092457133	1.976635e-4	-2.000000e-4	-0.9883
9	14	-0.0212209766	-0.0214390523	2.180757e-4	-2.175191e-4	-1.0026
11	14	-0.0251423322	-0.0253606033	2.182711e-4	-2.213695e-4	-0.9860
13	14	-0.0285783780	-0.0288018172	2.234391e-4	-2.240068e-4	-0.9975
2	15	-0.0037505198	-0.0038690541	1.185343e-4	-1.250000e-4	-0.9483
4	15	-0.0069257274	-0.0071036531	1.779257e-4	-1.770833e-4	-1.0048
7	15	-0.0164163182	-0.0166075488	1.912306e-4	-1.972789e-4	-0.9693
8	15	-0.0099217932	-0.0101209870	1.991938e-4	-2.005208e-4	-0.9934
11	15	-0.0222292705	-0.0224323781	2.031076e-4	-2.066116e-4	-0.9830
13	15	-0.0253950962	-0.0256000859	2.049897e-4	-2.090730e-4	-0.9805
14	15	-0.0267836582	-0.0269885629	2.049047e-4	-2.100340e-4	-0.9756
3	16	-0.0060798671	-0.0062368449	1.569778e-4	-1.504630e-4	-1.0433
5	16	-0.0107904384	-0.0109643906	1.739522e-4	-1.750000e-4	-0.9940
7	16	-0.0138688644	-0.0140497944	1.809300e-4	-1.849490e-4	-0.9783
9	16	-0.0131157062	-0.0133061254	1.904192e-4	-1.903292e-4	-1.0005
11	16	-0.0179025521	-0.0180939326	1.913806e-4	-1.936983e-4	-0.9880
13	16	-0.0224142604	-0.0226084436	1.941832e-4	-1.960059e-4	-0.9907
15	16	-0.0251916793	-0.0253872119	1.955326e-4	-1.976852e-4	-0.9891
2	17	-0.0029256781	-0.0030332702	1.075921e-4	-1.102941e-4	-0.9755
3	17	-0.0044117755	-0.0045491113	1.373358e-4	-1.416122e-4	-0.9698
4	17	-0.0076433832	-0.0077973792	1.539960e-4	-1.562500e-4	-0.9856
5	17	-0.0087317283	-0.0088925436	1.608152e-4	-1.647059e-4	-0.9764
6	17	-0.0068013136	-0.0069653037	1.639902e-4	-1.702070e-4	-0.9635
7	17	-0.0114810951	-0.0116505945	1.694994e-4	-1.740696e-4	-0.9737
8	17	-0.0147122863	-0.0148876200	1.753337e-4	-1.769301e-4	-0.9910
9	17	-0.0081590247	-0.0083312114	1.721867e-4	-1.791334e-4	-0.9612
