N	bin_center	count	density
20	1.094211264342413e-1	18	4.433726419419780e0
20	3.230943059301943e-1	0	0.000000000000000e0
20	5.367674854261473e-1	0	0.000000000000000e0
20	7.504406649221003e-1	0	0.000000000000000e0
20	9.641138444180533e-1	0	0.000000000000000e0
20	1.177787023914006e0	0	0.000000000000000e0
20	1.391460203409959e0	0	0.000000000000000e0
20	1.605133382905912e0	0	0.000000000000000e0
20	1.818806562401865e0	0	0.000000000000000e0
20	2.032479741897818e0	1	2.463181344122100e-1
30	1.244428001318199e-1	27	3.767931078399996e0
30	3.715371506882459e-1	1	1.395530029037035e-1
30	6.186315012446719e-1	0	0.000000000000000e0
30	8.657258518010978e-1	0	0.000000000000000e0
30	1.112820202357524e0	0	0.000000000000000e0
30	1.359914552913950e0	0	0.000000000000000e0
30	1.607008903470376e0	0	0.000000000000000e0
30	1.854103254026802e0	0	0.000000000000000e0
30	2.101197604583228e0	0	0.000000000000000e0
30	2.348291955139654e0	1	1.395530029037035e-1
50	1.436107403112153e-1	47	3.343303710088472e0
50	4.305077011152953e-1	1	7.113412149124408e-2
50	7.174046619193755e-1	0	0.000000000000000e0
50	1.004301622723456e0	0	0.000000000000000e0
50	1.291198583527535e0	0	0.000000000000000e0
50	1.578095544331616e0	0	0.000000000000000e0
50	1.864992505135696e0	0	0.000000000000000e0
50	2.151889465939775e0	0	0.000000000000000e0
50	2.438786426743856e0	0	0.000000000000000e0
50	2.725683387547936e0	1	7.113412149124408e-2
