index	eigenvalue
0	3.166978476976659e-5
1	3.264065174282909e-5
2	3.479065502423620e-5
3	3.553727765278363e-5
4	3.584710792001445e-5
5	3.637160011461049e-5
6	3.701225339504345e-5
7	3.802029312040100e-5
8	3.912647962460289e-5
9	4.028888329587196e-5
10	4.222132958702329e-5
11	4.252201602592966e-5
12	4.331317775338850e-5
13	4.382495224972978e-5
14	4.462345895421859e-5
15	4.515392052174849e-5
16	4.647749429439738e-5
17	4.674568449653751e-5
18	4.890902081203875e-5
19	4.957504377480286e-5
20	5.081252877071936e-5
21	5.200638147592968e-5
22	5.238210101014036e-5
23	5.412292707880947e-5
24	5.644022137098891e-5
25	5.682825888576582e-5
26	5.763684740800114e-5
27	5.919187302469007e-5
28	6.033160032459159e-5
29	6.062470211150232e-5
30	6.331440129120739e-5
31	6.444113944543225e-5
32	6.519575813926232e-5
33	6.689978992302125e-5
34	6.713151461023163e-5
35	6.859284621447387e-5
36	6.982592444612122e-5
37	7.110324500035617e-5
38	7.301010702274161e-5
39	7.464243963930410e-5
40	7.594015702308965e-5
41	7.713098138900053e-5
42	7.804704215853603e-5
43	7.982172802169652e-5
44	8.220271315175878e-5
45	8.343553179727109e-5
46	8.552784576907291e-5
47	8.606479043868535e-5
48	8.826382680049584e-5
49	9.012599523632661e-5
50	9.153509696119315e-5
51	9.444793756273989e-5
52	9.496181030036045e-5
53	9.755136065038829e-5
54	9.954087518132139e-5
55	1.019047377994143e-4
56	1.026205565350258e-4
57	1.059442165038180e-4
58	1.096258665287522e-4
59	1.105744346657913e-4
60	1.137076867817155e-4
61	1.141702147237080e-4
62	1.164691960396558e-4
63	1.187090735635778e-4
64	1.213968978592542e-4
65	1.261948116922920e-4
66	1.278988315958206e-4
67	1.305707901913621e-4
68	1.343946433852655e-4
69	1.379050302943272e-4
70	1.438104837477350e-4
71	1.469164579875340e-4
72	1.490364751606176e-4
73	1.538209410886058e-4
74	1.587578169964414e-4
75	1.647281798715836e-4
76	1.652152670197906e-4
77	1.704193697108982e-4
78	1.728778013953475e-4
79	1.782439481741089e-4
80	1.805167644952311e-4
81	1.864183100932237e-4
82	1.911088073695647e-4
83	1.948941735333232e-4
84	1.985006340508654e-4
85	2.046025171345548e-4
86	2.077891395963321e-4
87	2.114940696292448e-4
88	2.175831876087921e-4
89	2.275696110443827e-4
90	2.310884077735871e-4
91	2.329401561833243e-4
92	2.406620570447344e-4
93	2.436787677600817e-4
94	2.495862748295213e-4
95	2.544511426154214e-4
96	2.640727511417342e-4
97	2.697954267335717e-4
98	2.826865831081514e-4
99	2.881977037113951e-4
100	2.890458664862513e-4
101	2.994665749015419e-4
102	3.063196184736881e-4
103	3.126547675045568e-4
104	3.226515920624821e-4
105	3.374892846572102e-4
106	3.456235962960909e-4
107	3.561413891031586e-4
108	3.682378682484426e-4
109	3.773035692352695e-4
110	3.884526610160699e-4
111	4.026522556096048e-4
112	4.046559621113684e-4
113	4.250282315924577e-4
114	4.542229774450771e-4
115	4.701825212926265e-4
116	4.828136183992195e-4
117	4.969385216550626e-4
118	5.031261365699586e-4
119	5.094016755837618e-4
120	5.264041886121355e-4
121	5.554863262373203e-4
122	5.635195068828287e-4
123	5.937732243872034e-4
124	6.183991539783736e-4
125	6.270089952336674e-4
126	6.380540046891788e-4
127	6.606108972214830e-4
128	6.869488489642101e-4
129	7.146855283429985e-4
130	7.278945160399937e-4
131	7.697512705096632e-4
132	7.975883586345678e-4
133	8.501513762715123e-4
134	8.661043202251132e-4
135	9.034896065180125e-4
136	9.775681214766756e-4
137	9.856045075222256e-4
138	1.039195581910805e-3
139	1.066379738979071e-3
140	1.152322212913272e-3
141	1.170894221902425e-3
142	1.213420140894834e-3
143	1.262338360076631e-3
144	1.292760654013599e-3
145	1.332883990442552e-3
146	1.364542236037196e-3
147	1.472859186809169e-3
148	1.502617077258464e-3
149	1.597155813152953e-3
150	1.663000711898171e-3
151	1.743665910832984e-3
152	1.823697561534612e-3
153	1.832120480639735e-3
154	1.874040538269015e-3
155	2.027579030479113e-3
156	2.121787966353597e-3
157	2.166899530938315e-3
158	2.280080106741642e-3
159	2.326322062944417e-3
160	2.554590280612660e-3
161	2.983846909025108e-3
162	3.147600072387094e-3
163	3.499774250426382e-3
164	3.820083387592117e-3
165	4.081362437975212e-3
166	4.555703346576493e-3
167	4.649540323511421e-3
168	5.036275493901616e-3
169	5.256556317278433e-3
170	6.373868571903234e-3
171	6.885345553996912e-3
172	6.975035576444995e-3
173	7.323698688147324e-3
174	7.755221406360977e-3
175	9.214870788360432e-3
176	1.069120034290697e-2
177	1.239140271807973e-2
178	1.280447059767999e-2
179	1.417225099633067e-2
180	1.674298166126939e-2
181	1.790418361232659e-2
182	2.112364043568604e-2
183	2.266859561461092e-2
184	2.288210010400052e-2
185	2.352756910500069e-2
186	2.504306254864798e-2
187	2.518904796839258e-2
188	2.628435958981806e-2
189	2.730478580543892e-2
190	2.920234233565938e-2
191	3.429461927300377e-2
192	3.647245414168332e-2
193	4.528384986227012e-2
194	6.267317430628351e-2
195	8.425019255633696e-2
196	1.933539622354607e-1
197	7.551448893529553e-1
198	3.838552120101917e0
