energy	density
-3.652818219814397e-1	6.017063122539376e-1
-3.432513851050789e-1	6.216184607891553e-1
-3.212209482287180e-1	6.409155956143967e-1
-2.991905113523571e-1	6.595010424739656e-1
-2.771600744759963e-1	6.772795485277471e-1
-2.551296375996354e-1	6.941580902235421e-1
-2.330992007232746e-1	7.100466810841771e-1
-2.110687638469137e-1	7.248591696551309e-1
-1.890383269705528e-1	7.385140177468977e-1
-1.670078900941920e-1	7.509350491507950e-1
-1.449774532178311e-1	7.620521592100842e-1
-1.229470163414703e-1	7.718019759900715e-1
-1.009165794651094e-1	7.801284643077020e-1
-7.888614258874854e-2	7.869834645465623e-1
-5.685570571238768e-2	7.923271589874327e-1
-3.482526883602682e-2	7.961284593150059e-1
-1.279483195966596e-2	7.983653100028270e-1
9.235604916694895e-3	7.990249034132645e-1
3.126604179305575e-2	7.981038036577383e-1
5.329647866941661e-2	7.956079775232207e-1
7.532691554577747e-2	7.915527320618511e-1
9.735735242213828e-2	7.859625597382531e-1
1.193877892984992e-1	7.788708933106488e-1
1.414182261748601e-1	7.703197738643296e-1
1.634486630512209e-1	7.603594365973420e-1
1.854790999275818e-1	7.490478200579425e-1
2.075095368039426e-1	7.364500055323292e-1
2.295399736803035e-1	7.226375941628872e-1
2.515704105566643e-1	7.076880301272666e-1
2.736008474330252e-1	6.916838788158298e-1
2.956312843093861e-1	6.747120694007073e-1
3.176617211857469e-1	6.568631114887759e-1
3.396921580621078e-1	6.382302956910842e-1
3.617225949384686e-1	6.189088879236820e-1
3.837530318148295e-1	5.989953270835785e-1
4.057834686911905e-1	5.785864354257183e-1
4.278139055675512e-1	5.577786505121026e-1
4.498443424439121e-1	5.366672870246454e-1
4.718747793202729e-1	5.153458360432260e-1
4.939052161966338e-1	4.939053086055296e-1
5.159356530729946e-1	4.724336295029116e-1
5.379660899493557e-1	4.510150863446423e-1
5.599965268257163e-1	4.297298379601335e-1
5.820269637020772e-1	4.086534852235509e-1
6.040574005784380e-1	3.878567063959659e-1
6.260878374547989e-1	3.674049581042175e-1
6.481182743311598e-1	3.473582421295046e-1
6.701487112075206e-1	3.277709372773983e-1
6.921791480838815e-1	3.086916947578830e-1
7.142095849602423e-1	2.901633947308788e-1
7.362400218366032e-1	2.722231609789815e-1
7.582704587129641e-1	2.549024300625824e-1
7.803008955893249e-1	2.382270707983770e-1
8.023313324656858e-1	2.222175494840154e-1
8.243617693420466e-1	2.068891359704439e-1
8.463922062184075e-1	1.922521454587479e-1
8.684226430947684e-1	1.783122107674789e-1
8.904530799711292e-1	1.650705797754448e-1
9.124835168474901e-1	1.525244327881614e-1
9.345139537238507e-1	1.406672146968354e-1
9.565443906002118e-1	1.294889769890538e-1
9.785748274765727e-1	1.189767249217844e-1
1.000605264352934e0	1.091147654707486e-1
1.022635701229294e0	9.988505201639233e-2
1.044666138105655e0	9.126752210611215e-2
1.066696574982016e0	8.324042503581877e-2
1.088727011858377e0	7.578063641238086e-2
1.110757448734738e0	6.886395728349112e-2
1.132787885611099e0	6.246539584518263e-2
1.154818322487460e0	5.655943015244980e-2
1.176848759363821e0	5.112025065886922e-2
1.198879196240181e0	4.612198179131723e-2
1.220909633116542e0	4.153888212128257e-2
1.242940069992903e0	3.734552302123564e-2
1.264970506869264e0	3.351694599028635e-2
1.287000943745625e0	3.002879909607260e-2
1.309031380621986e0	2.685745320839881e-2
1.331061817498346e0	2.398009889429108e-2
1.353092254374707e0	2.137482500422888e-2
1.375122691251068e0	1.902068010633529e-2
1.397153128127429e0	1.689771802075548e-2
1.419183565003790e0	1.498702877225762e-2
1.441214001880151e0	1.327075631751651e-2
1.463244438756512e0	1.173210441711594e-2
1.485274875632872e0	1.035533201372506e-2
1.507305312509233e0	9.125739449963638e-3
1.529335749385594e0	8.029646814992086e-3
1.551366186261955e0	7.054365650631056e-3
1.573396623138316e0	6.188165178536605e-3
1.595427060014677e0	5.420234132192620e-3
1.617457496891038e0	4.740639193635823e-3
1.639487933767398e0	4.140280947099981e-3
1.661518370643759e0	3.610848172140607e-3
1.683548807520120e0	3.144771209036697e-3
1.705579244396481e0	2.735175040882200e-3
1.727609681272842e0	2.375832651065302e-3
1.749640118149203e0	2.061119132846163e-3
1.771670555025564e0	1.785966950323580e-3
1.793700991901924e0	1.545822677862638e-3
1.815731428778285e0	1.336605478484353e-3
1.837761865654646e0	1.154667521069407e-3
1.859792302531007e0	9.967564816242851e-4
1.881822739407368e0	8.599802252912829e-4
1.903853176283729e0	7.417737231338466e-4
1.925883613160090e0	6.398682207831700e-4
1.947914050036450e0	5.522626445055558e-4
1.969944486912811e0	4.771972038005057e-4
1.991974923789172e0	4.131291278851571e-4
2.014005360665533e0	3.587104559537797e-4
2.036035797541894e0	3.127677875010399e-4
2.058066234418255e0	2.742838888421257e-4
2.080096671294616e0	2.423810448364997e-4
2.102127108170976e0	2.163060403249134e-4
2.124157545047337e0	1.954166535424084e-4
2.146187981923698e0	1.791695434200464e-4
2.168218418800059e0	1.671094139107717e-4
2.190248855676420e0	1.588593409768138e-4
2.212279292552780e0	1.541121513961963e-4
2.234309729429141e0	1.526227468551449e-4
2.256340166305502e0	1.542012716939375e-4
2.278370603181863e0	1.587070279986530e-4
2.300401040058224e0	1.660430473414266e-4
2.322431476934585e0	1.761512342545197e-4
2.344461913810946e0	1.890080023898709e-4
2.366492350687307e0	2.046203301980443e-4
2.388522787563668e0	2.230221688092943e-4
2.410553224440029e0	2.442711405810627e-4
