index	raw_spacing	unfolded_spacing
0	2.015755014249071e-19	4.084939808710101e-1
1	9.712405106009071e-19	2.033219970136740e0
2	5.288320542912483e-19	1.204972420451532e0
3	3.162038784056968e-19	7.850015327373081e-1
4	4.382926857547306e-19	1.069604561557008e0
5	5.046162746663028e-19	1.337810481369208e0
6	3.830403923366366e-19	1.055709701030678e0
7	1.671972635859377e-19	5.950251613215777e-1
8	1.142617562323979e-19	4.657161897807638e-1
9	4.724473917700351e-19	2.108624739062171e0
10	5.144428116548035e-20	2.792107510134291e-1
11	4.352476903590395e-20	2.589300249224293e-1
12	7.105039231220903e-20	5.306175575074696e-1
13	1.367305033557002e-19	1.150629921395879e0
14	8.199655551629170e-20	7.093523121015779e-1
15	4.286124685186030e-22	5.132470290221192e-3
16	3.269199596098666e-19	3.963722959395580e0
17	6.913054575000709e-21	8.141026398629696e-2
18	1.423715988502435e-21	1.794030699435125e-2
19	7.864986940409598e-20	1.037358310018380e0
20	1.195280177708773e-19	1.644533783187945e0
21	4.009259815338882e-20	4.951290941557260e-1
22	7.034550405410724e-20	1.063827357056572e0
23	9.915192424595012e-21	1.281064423802215e-1
24	9.777895064732894e-20	1.224572871293430e0
25	4.750661414075511e-20	6.488566777585028e-1
26	9.164085388353925e-20	1.209994942066661e0
27	1.635798024667073e-19	2.249374786014845e0
28	1.309177394909789e-19	1.772744533787526e0
29	2.836617459931332e-20	3.815978579888428e-1
30	5.703257539898201e-21	7.939937581459650e-2
31	1.472554667267366e-19	2.161860132518295e0
32	6.936205986717358e-21	1.146338450658384e-1
33	8.275319006822506e-20	1.671899722019742e0
34	1.524956438921286e-20	3.994412287706698e-1
35	7.022118267927036e-20	1.592363309470618e0
36	6.643413261764659e-21	1.517703159712370e-1
37	7.956369064156022e-21	2.546084386096209e-1
38	4.245897223059155e-20	1.306540685338305e0
39	6.405863627146685e-21	2.318394848535528e-1
40	9.350242721886416e-20	3.319406309175880e0
41	2.118258886945481e-21	8.528858481970833e-2
42	9.498303515591778e-21	3.556318459966136e-1
43	2.066214565234640e-20	7.541569142565099e-1
44	2.922007845298503e-20	8.897797765940881e-1
45	2.116559265649980e-20	5.007718857611405e-1
46	3.356865028082673e-20	8.394217816563222e-1
47	2.723406567221336e-20	6.228166708593260e-1
48	1.554006121296253e-20	3.617866250372168e-1
49	1.023209749562661e-19	2.406290886057906e0
50	1.100947414993589e-19	2.687624816759136e0
51	6.846939729602461e-20	1.592941350730636e0
52	4.322583420246571e-20	7.522115976790165e-1
53	9.887645935961971e-22	1.724259180826316e-2
54	1.591691980702470e-20	2.646319184446534e-1
55	1.207440773343472e-20	2.269339127588340e-1
56	4.337917734278154e-20	8.863510728667249e-1
57	1.928705787909482e-19	4.376480074073578e0
58	2.590659322820183e-20	5.432696761981457e-1
59	4.637392556859255e-20	8.493845938420361e-1
60	2.597351104738784e-20	4.884367454014968e-1
61	6.317523482248001e-20	1.159966634878836e0
62	1.488279561341324e-20	2.723351970184270e-1
63	8.300885876992081e-20	2.210884939274572e0
64	7.700596725407164e-20	2.107463534792354e0
65	2.939282955547645e-22	6.634973884988593e-3
66	2.622216361919068e-20	6.063449490067400e-1
67	4.542340045985460e-20	1.168192450745792e0
68	4.734510806214550e-21	1.205127470704391e-1
69	1.484178748118030e-20	4.561737506933586e-1
70	1.317361051166568e-19	4.100883426107221e0
71	1.438433098809830e-20	4.473253633382228e-1
72	1.518455085395579e-20	4.616404484392352e-1
73	1.931468862205894e-20	6.124602505444238e-1
74	8.747774386865276e-21	2.637440723166383e-1
75	7.247895129660714e-20	2.107689601142996e0
76	6.510955585380315e-22	2.304149932599440e-2
77	3.432131482746109e-20	1.237461466406704e0
78	3.050344332159733e-20	7.407803677808812e-1
79	2.268024545952357e-20	3.990450769719351e-1
80	2.826404499843980e-20	4.968930158360465e-1
81	6.430224650938446e-20	1.230131617159247e0
82	8.639498091511731e-21	1.559505341791272e-1
83	1.630485989104110e-19	2.577523523838217e0
84	1.915620797819373e-19	3.164064958940820e0
85	9.245532871941436e-21	1.484912060116772e-1
86	2.178111254751526e-20	3.282116488370551e-1
87	3.504049110576015e-20	5.443383940510085e-1
88	1.207690669344902e-19	1.659282426942835e0
89	6.404129658130362e-22	1.042544887785423e-2
90	4.160176072810863e-20	8.549654465830436e-1
91	7.336229660379403e-20	1.523966745980098e0
92	4.240802026378227e-20	6.072570728296067e-1
93	1.011636645152743e-19	1.397356746465120e0
94	3.813197072718718e-20	4.213852094533976e-1
95	5.110463294658100e-20	5.581320487175041e-1
96	3.526013984778640e-21	3.904006620899782e-2
97	2.604407011412299e-19	2.447267590786494e0
98	6.321238311412014e-20	6.089582697586247e-1
99	3.198196301451830e-19	3.373371518277938e0
100	1.242957611356633e-20	1.098562965621589e-1
101	2.789721838977447e-20	2.218665211868019e-1
102	2.504973543467975e-19	1.446797465756815e0
103	1.362227943677916e-20	8.636105851423982e-2
104	2.196532938732301e-21	9.223703441870188e-3
105	2.398372063607817e-19	1.617343817526681e-13
106	1.896473217470108e-19	4.026588719145159e-14
107	5.249309853453430e-19	9.114302722034808e-14
108	9.100952568510280e-20	1.187471088466852e-14
109	9.476526093011844e-19	1.188148762155363e-13
110	1.631198784932879e-5	1.970323347724290e0
111	3.549664433846288e-5	4.015446569330771e0
112	1.154498920157385e-5	1.217099834044383e0
113	2.095199179643732e-5	2.073606225328014e0
114	3.429012597948303e-6	3.258794779055246e-1
115	3.332592472508880e-6	2.986262694278654e-1
116	6.173046551487285e-6	6.221624879774137e-1
117	7.101940872546457e-6	9.483938553993595e-1
118	6.803250455839833e-6	9.872126452824572e-1
119	4.600214072550542e-6	7.351011769448441e-1
120	7.011504730517680e-6	1.006014946742138e0
121	2.695935010090715e-6	3.736652638328307e-1
122	8.727786834324542e-6	1.082909241601048e0
123	4.977826345330057e-6	5.895262426377186e-1
124	1.398415543624816e-5	1.443465224436404e0
125	1.125716087414796e-5	8.906350099896081e-1
126	6.030416402374978e-6	4.429966220538744e-1
127	1.546511957694282e-5	1.041550203335941e0
128	1.132814398973296e-5	7.121400817434603e-1
129	2.048870293836687e-5	1.175293007275828e0
130	3.706749671440485e-5	2.176226634604175e0
131	1.771785687534476e-5	1.042442354679503e0
132	1.628525781435401e-5	8.723409875447959e-1
133	2.037689746933925e-5	9.704740346644209e-1
134	2.176010668455952e-5	1.050724851992564e0
135	9.584973526072672e-6	4.637490788515202e-1
136	1.085637388428286e-5	5.043533965074851e-1
137	2.442206725105419e-5	1.095665214250953e0
138	4.107746984421761e-5	1.727838459913792e0
139	8.168557065671986e-6	2.910344049597780e-1
140	2.003586624018425e-5	6.032659847396126e-1
141	4.649321616573542e-5	1.253554582834608e0
142	2.612609802916694e-5	6.554165126305130e-1
143	3.261134439191504e-5	7.651137005423998e-1
144	6.760449569906759e-5	1.551815877079999e0
145	7.835511825555900e-5	1.154408621621423e0
146	5.222953606139947e-5	6.957882785329288e-1
147	4.135630097078203e-5	4.560003353492365e-1
148	5.479360463447555e-5	3.897433760717769e-1
149	5.143828947128798e-5	3.459391822611175e-1
150	2.755776336521510e-4	1.702214122664051e0
151	9.913234959227140e-5	6.296489456608131e-1
152	2.184045628479921e-4	1.156422207071840e0
153	5.749750062193867e-4	2.863466515424591e0
154	1.217419413685698e-4	5.098930410618673e-1
155	2.128256534658307e-4	8.892548819447748e-1
156	2.937245193024469e-5	1.241345252216847e-1
157	3.978675538767068e-4	1.344846543547187e0
158	1.726361102579069e-4	5.812372156429317e-1
159	4.723858344775640e-4	1.727071482598886e0
160	5.771439767578634e-5	1.772014331759724e-1
161	2.457411494793606e-4	7.364103333368237e-1
162	7.506420201876612e-4	2.152472088595387e0
163	2.312617200736170e-4	6.351634032376892e-1
164	3.165136046032226e-4	7.875173691737032e-1
165	6.957327308558499e-4	1.754317476806943e0
166	3.008476812478272e-4	6.929471763200551e-1
167	1.947404922876088e-4	3.792688042290958e-1
168	5.668621771382290e-4	1.145235529838721e0
169	5.886030944984620e-4	9.660975317120076e-1
170	4.137554553166334e-4	6.726128864088010e-1
171	4.710239219950767e-4	7.172346962788086e-1
172	1.118109935367598e-3	1.455055085519715e0
173	5.472667019715480e-4	6.877864255390356e-1
174	1.488387266059252e-3	1.489602652345373e0
175	3.812819187638244e-4	3.937730622118615e-1
176	1.153065161792087e-3	9.676805380467093e-1
177	1.529648661891448e-3	1.155027378301031e0
178	4.946164289560302e-4	3.840385656834771e-1
179	2.805266409522294e-3	2.120294513515508e0
180	2.486396478625884e-4	1.943888020745883e-1
181	2.870032867106676e-3	2.118352161631137e0
182	1.931422178985540e-3	1.522527816546982e0
183	7.176497044789377e-4	5.829107784819736e-1
184	9.335955428554782e-4	6.711757617577899e-1
185	1.004707817672829e-3	6.558629957163712e-1
186	1.214619592289315e-3	7.169138002928753e-1
187	2.039921575290385e-4	9.301045486749904e-2
188	1.118090660534317e-3	2.947797137382674e-1
189	2.252820484340896e-3	4.194356598153440e-1
190	4.355183340064867e-3	2.792274487759829e-1
191	2.034457456392628e-3	3.052688135074298e-2
192	8.358853592137748e-3	2.415014242091610e-2
193	1.952870150692417e-2	5.129522387375249e-2
194	1.807680541408635e-2	4.274598401146653e-2
195	1.134216367381300e-1	2.385471125422534e-1
196	5.625274784003131e-1	1.036400439496838e0
197	3.075444848618261e0	4.859343658399054e0
