energy	count	normalized
-1.345071545070152e-39	1	5.025125628140704e-3
-9.467888677705984e-40	2	1.005025125628141e-2
-5.734295925411408e-40	3	1.507537688442211e-2
-5.018368956589014e-40	4	2.010050251256281e-2
-3.856397307173217e-40	5	2.512562814070352e-2
-1.048602005331617e-40	6	3.015075376884422e-2
4.978772900037644e-41	7	3.517587939698492e-2
1.174678531497317e-40	8	4.020100502512563e-2
2.215517203983927e-40	9	4.522613065326633e-2
2.243476119779381e-40	10	5.025125628140704e-2
2.637460966118297e-40	11	5.527638190954774e-2
3.089524118236857e-40	12	6.030150753768844e-2
3.704048564698559e-40	13	6.532663316582915e-2
3.792003298716239e-40	14	7.035175879396985e-2
3.962311561540786e-40	15	7.537688442211055e-2
4.099403846643793e-40	16	8.040201005025126e-2
4.400573914042066e-40	17	8.542713567839195e-2
5.121334843873774e-40	18	9.045226130653267e-2
5.632498964202423e-40	19	9.547738693467336e-2
7.264877711380927e-40	20	1.005025125628141e-1
8.493514557587214e-40	21	1.055276381909548e-1
9.831326717626199e-40	22	1.105527638190955e-1
1.150830719200411e-39	23	1.155778894472362e-1
1.321986272566601e-39	24	1.206030150753769e-1
1.628998106464653e-39	25	1.256281407035176e-1
1.934932845131424e-39	26	1.306532663316583e-1
2.519547177597705e-39	27	1.356783919597990e-1
1.078134340171098e-6	28	1.407035175879397e-1
2.860387671993623e-6	29	1.457286432160804e-1
3.354830923396242e-6	30	1.507537688442211e-1
4.355722478386771e-6	31	1.557788944723618e-1
5.626665779382777e-6	32	1.608040201005025e-1
6.460363034889082e-6	33	1.658291457286432e-1
7.038941880639625e-6	34	1.708542713567839e-1
9.079756126090082e-6	35	1.758793969849246e-1
9.795084683990706e-6	36	1.809045226130653e-1
1.011468451543057e-5	37	1.859296482412060e-1
1.029202107947470e-5	38	1.909547738693467e-1
1.102247409784653e-5	39	1.959798994974874e-1
1.117562553761435e-5	40	2.010050251256282e-1
1.183172030845022e-5	41	2.060301507537688e-1
1.290304126185349e-5	42	2.110552763819095e-1
1.350947440527181e-5	43	2.160804020100502e-1
1.383882394667005e-5	44	2.211055276381910e-1
1.432451462493351e-5	45	2.261306532663317e-1
1.489761989307602e-5	46	2.311557788944724e-1
1.578227735318093e-5	47	2.361809045226131e-1
1.623220631701684e-5	48	2.412060301507538e-1
1.696507860131619e-5	49	2.462311557788945e-1
1.885801835095169e-5	50	2.512562814070352e-1
1.901467718892056e-5	51	2.562814070351759e-1
1.958642697594523e-5	52	2.613065326633166e-1
2.093251106687418e-5	53	2.663316582914573e-1
2.164463214515849e-5	54	2.713567839195980e-1
2.216702549906253e-5	55	2.763819095477387e-1
2.279492177867141e-5	56	2.814070351758794e-1
2.521890703533864e-5	57	2.864321608040201e-1
2.543694808482620e-5	58	2.914572864321608e-1
2.623238384697001e-5	59	2.964824120603015e-1
2.855065719650579e-5	60	3.015075376884422e-1
2.869939756251276e-5	61	3.065326633165829e-1
3.159508618058158e-5	62	3.115577889447236e-1
3.330926199771624e-5	63	3.165829145728643e-1
3.423194239835586e-5	64	3.216080402010050e-1
3.452106056325908e-5	65	3.266331658291458e-1
3.628469302047948e-5	66	3.316582914572864e-1
3.728412545444505e-5	67	3.366834170854272e-1
3.863270069148833e-5	68	3.417085427135678e-1
3.910692383555627e-5	69	3.467336683417085e-1
4.055182378657845e-5	70	3.517587939698493e-1
4.251477506649564e-5	71	3.567839195979899e-1
4.261794700947767e-5	72	3.618090452261307e-1
4.620236457749074e-5	73	3.668341708542713e-1
4.668411687230125e-5	74	3.718592964824121e-1
4.710775823110029e-5	75	3.768844221105528e-1
4.894778479579711e-5	76	3.819095477386935e-1
5.270522181703231e-5	77	3.869346733668342e-1
5.420485102409680e-5	78	3.919597989949749e-1
5.529338914401216e-5	79	3.969849246231156e-1
5.906683147877585e-5	80	4.020100502512563e-1
6.179593559462203e-5	81	4.070351758793970e-1
6.426105439622951e-5	82	4.120603015075377e-1
6.858539309457444e-5	83	4.170854271356784e-1
7.041670495192150e-5	84	4.221105527638191e-1
7.793229189797211e-5	85	4.271356783919598e-1
8.103726005639384e-5	86	4.321608040201005e-1
8.664463120416084e-5	87	4.371859296482412e-1
8.980899697022311e-5	88	4.422110552763819e-1
9.158443537070824e-5	89	4.472361809045226e-1
9.326476854436375e-5	90	4.522613065326633e-1
9.589580247233904e-5	91	4.572864321608040e-1
1.000918126488306e-4	92	4.623115577889447e-1
1.015953346628244e-4	93	4.673366834170855e-1
1.078263050565032e-4	94	4.723618090452261e-1
