beta	free_energy	specific_heat	entropy
1.000000000000001e-2	-5.003605170146193e2	8.868091979358250e-6	5.003941819872375e0
1.096985797892384e-2	-4.561200857092107e2	1.063561539415438e-5	5.003940919633191e0
1.203377840777590e-2	-4.157910106429280e2	1.275124527205555e-5	5.003939840144591e0
1.320088400831418e-2	-3.790274849724584e2	1.528221530580433e-5	5.003938546161057e0
1.448118227674534e-2	-3.455142751072683e2	1.830832572606900e-5	5.003936995647729e0
1.588565129428054e-2	-3.149640176976148e2	2.192415924217999e-5	5.003935138517141e0
1.742633386009651e-2	-2.871147555992594e2	2.624164525934045e-5	5.003932915145029e0
1.911644075385703e-2	-2.617276916866497e2	3.139301318162130e-5	5.003930254631076e0
2.097046401323233e-2	-2.385851412543115e2	3.753417547497132e-5	5.003927072766710e0
2.300430119772919e-2	-2.174886654489839e2	4.484857879504250e-5	5.003923269668364e0
2.523539170434767e-2	-1.982573697273088e2	5.355155592200371e-5	5.003918727031278e0
2.768286630392067e-2	-1.807263527488978e2	6.389520125333234e-5	5.003913304956368e0
3.036771118035460e-2	-1.647452924045188e2	7.617377662162609e-5	5.003906838301201e0
3.331294787934675e-2	-1.501771568550108e2	9.072963028337548e-5	5.003899132506585e0
3.654383070957257e-2	-1.368970295284421e2	1.079595776982949e-4	5.003889958853329e0
4.008806328898466e-2	-1.247910380001586e2	1.283216453708201e-4	5.003879049110571e0
4.397603609302722e-2	-1.137553775711102e2	1.523420153019133e-4	5.003866089549015e0
4.824108704165371e-2	-1.036954211718253e2	1.806219238795879e-4	5.003850714311192e0
5.291978735958445e-2	-9.452490795959675e1	2.138441614969091e-4	5.003832498158387e0
5.805225516094901e-2	-8.616520365119143e1	2.527786841029419e-4	5.003810948652645e0
6.368249944718588e-2	-7.854462624848165e1	2.982866821426117e-4	5.003785497884977e0
6.985879746785251e-2	-7.159783137511117e1	3.513222541760903e-4	5.003755493930367e0
7.663410868007459e-2	-6.526525195344063e1	4.129306026386301e-4	5.003720192299498e0
8.406652885618328e-2	-5.949258741697115e1	4.842414125342886e-4	5.003678747769089e0
9.221978823334331e-2	-5.423033807820949e1	5.664558013553310e-4	5.003630207109179e0
1.011637979766207e-1	-4.943338065916102e1	6.608249600403767e-4	5.003573503387499e0
1.109752496412072e-1	-4.506058134464752e1	7.686183722624184e-4	5.003507452716278e0
1.217382727739662e-1	-4.107444304047439e1	8.910793503842006e-4	5.003430754510202e0
1.335451562929899e-1	-3.744078381188206e1	1.029365627906580e-3	5.003341996534941e0
1.464971398307286e-1	-3.412844374523693e1	1.184472989125500e-3	5.003239666226026e0
1.607052818261639e-1	-3.110901771984154e1	1.357140508900079e-3	5.003122169920553e0
1.762914118095947e-1	-2.835661179917333e1	1.547737050783119e-3	5.002987861730739e0
1.933891750455231e-1	-2.584762115370613e1	1.756130372807753e-3	5.002835083747662e0
2.121451784910631e-1	-2.356052761246369e1	1.981542651340104e-3	5.002662219030917e0
2.327202478960409e-1	-2.147571510918291e1	2.222399548986181e-3	5.002467758340596e0
2.552908068239518e-1	-1.957530144285406e1	2.476184129034407e-3	5.002250380721402e0
2.800503894183632e-1	-1.784298491275135e1	2.739311809531814e-3	5.002009046780548e0
3.072112998861758e-1	-1.626390451603041e1	3.007047774922704e-3	5.001743101760741e0
3.370064329271929e-1	-1.482451251259354e1	3.273493124673532e-3	5.001452383295574e0
3.696912707195028e-1	-1.351245826813766e1	3.531669452707081e-3	5.001137326127661e0
4.055460735840829e-1	-1.231648238292998e1	3.773732030518632e-3	5.000799053269755e0
4.448782831127585e-1	-1.122632020164317e1	3.991337498407564e-3	5.000439440449607e0
4.880251583654432e-1	-1.023261387919127e1	4.176181054698492e-3	5.000061138728435e0
5.353566677410724e-1	-9.326832249559564e0	4.320699033876169e-3	4.999667539612243e0
5.872786613189481e-1	-8.501197809712716e0	4.418904979814177e-3	4.999262668576507e0
6.442363508721376e-1	-7.748620189401862e0	4.467292238658010e-3	4.998850997456085e0
7.067181273927492e-1	-7.062635530714808e0	4.465697855030560e-3	4.998437174121142e0
7.752597488629460e-1	-6.437351249225265e0	4.417988579641582e-3	4.998025679241567e0
8.504489341802682e-1	-5.867395692360229e0	4.332410550469257e-3	4.997620433876921e0
9.329304026284685e-1	-5.347872250924005e0	4.221451660188916e-3	4.997224396201108e0
1.023411402105453e0	-4.874317517387305e0	4.101110090093925e-3	4.996839197902979e0
1.122667773510813e0	-4.442663120267919e0	3.989548087509062e-3	4.996464877011647e0
1.231550603292826e0	-4.049200898190128e0	3.905229775871859e-3	4.996099760493291e0
1.350993521198028e0	-3.690551110203188e0	3.864774255681621e-3	4.995740534671111e0
1.482020705798859e0	-3.363633410484095e0	3.880865922406911e-3	4.995382514667932e0
1.625755666443794e0	-3.065640345111361e0	3.960612699246073e-3	4.995020089539744e0
1.783430876931908e0	-2.794013155402685e0	4.104698206413327e-3	4.994647284878624e0
1.956398343517064e0	-2.546419695572404e0	4.307529320762959e-3	4.994258358614875e0
2.146141197858404e0	-2.320734291651572e0	4.558366040301671e-3	4.993848336697104e0
2.354286414322416e0	-2.115019383684854e0	4.843199471486355e-3	4.993413407019317e0
2.582618760682676e0	-1.927508804730561e0	5.146991773396107e-3	4.992951119473455e0
2.833096101839323e0	-1.756592559197587e0	5.455863233337937e-3	4.992460378127460e0
3.107866187782010e0	-1.600802970823730e0	5.758909508323063e-3	4.991941246238281e0
3.409285069746814e0	-1.458802078244170e0	6.049502704238540e-3	4.991394606500471e0
3.739937302478795e0	-1.329370164270833e0	6.326088895965396e-3	4.990821724707862e0
4.102658105827189e0	-1.211395313801432e0	6.592572656268151e-3	4.990223759452754e0
4.500557675700501e0	-1.103863904374211e0	6.858359591286477e-3	4.989601252346000e0
4.937047852839004e0	-1.005851942296042e0	7.138051394126680e-3	4.988953630024338e0
5.415871378079472e0	-9.165171656141321e-1	7.450722554022933e-3	4.988278753084971e0
5.941133984965036e0	-8.350918428196846e-1	7.818707733956242e-3	4.987572554275061e0
6.517339604882425e0	-7.608762031152282e-1	8.265908455624346e-3	4.986828811714547e0
7.149428986597576e0	-6.932324404864050e-1	8.815761964553711e-3	4.986039096171640e0
7.842822061337682e0	-6.315792398066780e-1	9.489155511962910e-3	4.985192911525418e0
8.603464416684504e0	-5.753867787902228e-1	1.030266236972382e-2	4.984278016467847e0
9.437878277775377e0	-5.241721647199018e-1	1.126747815063815e-2	4.983280879737369e0
1.035321843295662e1	-4.774952693863037e-1	1.238932689040323e-2	4.982187190323200e0
1.135733358343105e1	-4.349549294613421e-1	1.366939981763670e-2	4.980982328094407e0
1.245883364295007e1	-3.961854825442338e-1	1.510613783026761e-2	4.979651706072093e0
1.366716356462007e1	-3.608536114123712e-1	1.669744920708695e-2	4.978180923782701e0
1.499268432786045e1	-3.286554707456266e-1	1.844284162316663e-2	4.976555715189375e0
1.644676177994663e1	-2.993140720016738e-1	2.034497937785511e-2	4.974761722565462e0
1.804186409392072e1	-2.725769034399064e-1	2.241033305785937e-2	4.972784166460862e0
1.979166867853557e1	-2.482137637006323e-1	2.464880264754465e-2	4.970607502948702e0
2.171117945694503e1	-2.260147889229809e-1	2.707238927747705e-2	4.968215160972170e0
2.381685551976158e1	-2.057886551095501e-1	2.969311957112602e-2	4.965589439131728e0
2.612675225563327e1	-1.873609392362689e-1	3.252049250660643e-2	4.962711618944339e0
2.866067616948249e1	-1.705726243658135e-1	3.555875425612180e-2	4.959562324872977e0
3.144035471591502e1	-1.552787356754117e-1	3.880433606899657e-2	4.956122131751501e0
3.448962260405756e1	-1.413470958077709e-1	4.224380502034328e-2	4.952372388298842e0
3.783462617131929e1	-1.286571892714205e-1	4.585264191163672e-2	4.948296194142075e0
4.150404757850477e1	-1.170991267388475e-1	4.959504530160389e-2	4.943879443362508e0
4.552935074866946e1	-1.065727010103483e-1	5.342477517973380e-2	4.939111837366582e0
4.994505115855139e1	-9.698652713587112e-2	5.728685309366473e-2	4.933987777972820e0
5.478901179593944e1	-8.825725974529770e-2	6.111981457086702e-2	4.928507075077504e0
6.010276782070378e1	-8.030888108043122e-2	6.485823490339887e-2	4.922675431520940e0
6.593188271333545e1	-7.307205361099849e-2	6.843542802707171e-2	4.916504686328283e0
7.232633896483539e1	-6.648353150590794e-2	7.178647220261382e-2	4.910012795115256e0
7.934096665797485e1	-6.048562564789651e-2	7.485190421769465e-2	4.903223502410894e0
8.703591361485158e1	-5.502571731923870e-2	7.758240532848602e-2	4.896165627879038e0
9.547716114208043e1	-5.005581611644158e-2	7.994451311641786e-2	4.888871869833600e0
1.047370897959448e2	-4.553215803283430e-2	8.192689200143181e-2	4.881377048376303e0
1.148951000187308e2	-4.141483995298388e-2	8.354615006015716e-2	4.873715779454777e0
1.260382929679725e2	-3.766748703255814e-2	8.485081689568205e-2	4.865919684236114e0
1.382622173764657e2	-3.425694962056669e-2	8.592207601955495e-2	4.858014370587768e0
1.516716888470922e2	-3.115302656363426e-2	8.687025082624768e-2	4.850016538141585e0
1.663816886076126e2	-2.832821195902115e-2	8.782681735483730e-2	4.841931617537810e0
1.825183494319044e2	-2.575746272201486e-2	8.893268156899957e-2	4.833752331364525e0
2.002200371815583e2	-2.341798470468048e-2	9.032436631321171e-2	4.825458452573642e0
2.196385372416546e2	-2.128903552053276e-2	9.212035568017089e-2	4.817017852793989e0
2.409403560239526e2	-1.935174264868793e-2	9.440996089492874e-2	4.808388715316056e0
2.643081486974103e2	-1.758893576125778e-2	9.724663430718448e-2	4.799522584729595e0
2.899422853882876e2	-1.598499249706185e-2	1.006467353708574e-1	4.790367786427173e0
3.180625692794114e2	-1.452569706942601e-2	1.045935480993384e-1	4.780872710907458e0
3.489101213406776e2	-1.319811114560171e-2	1.090451706707000e-1	4.770988532461383e0
3.827494478516311e2	-1.199045639241684e-2	1.139440832246821e-1	4.760671101213100e0
4.198707084443910e2	-1.089200798560771e-2	1.192260061150168e-1	4.749881964901291e0
4.605922041145101e2	-9.892998273263891e-3	1.248261447404565e-1	4.738588680235432e0
5.052631065335678e2	-8.984529705508561e-3	1.306818833950447e-1	4.726764707596023e0
5.542664520663096e2	-8.158496116261791e-3	1.367320652116472e-1	4.714389219146554e0
6.080224261649427e2	-7.407511472867541e-3	1.429138074300576e-1	4.701447097058908e0
6.669919663030117e2	-6.724845283595851e-3	1.491581683828978e-1	4.687929290195839e0
7.316807143427196e2	-6.104363951501516e-3	1.553859710610911e-1	4.673833574089682e0
8.026433522257165e2	-5.540477466365902e-3	1.615049092450286e-1	4.659165646105707e0
8.804883581643455e2	-5.028090921070182e-3	1.674088909413471e-1	4.643940391757193e0
9.658832241158683e2	-4.562560418320511e-3	1.729804287770924e-1	4.628183076342402e0
1.059560179277616e3	-4.139652996412080e-3	1.780966464003872e-1	4.611930150901052e0
1.162322468679854e3	-3.755510248815925e-3	1.826389894885060e-1	4.595229328827280e0
1.275051240713013e3	-3.406615342383029e-3	1.865059694236900e-1	4.578138614560411e0
1.398713102647236e3	-3.089763154138250e-3	1.896273552174451e-1	4.560724069937527e0
1.534368408930011e3	-2.802033249857883e-3	1.919774403141494e-1	4.543056289203523e0
