a	b	M	integral	formula	error	error_abs	error_times_aM	time_ms
1	2	10	2.44265541861613034e-1	2.72209255990873145e-1	-2.79437141292601110e-2	2.79437141292601110e-2	2.79437141292601110e-1	0.1
1	2	20	2.57935245907986610e-1	2.72209255990873145e-1	-1.42740100828865346e-2	1.42740100828865346e-2	2.85480201657730692e-1	0.2
1	2	50	2.66425727855276517e-1	2.72209255990873145e-1	-5.78352813559662726e-3	5.78352813559662726e-3	2.89176406779831363e-1	0.6
1	2	100	2.69305065340739391e-1	2.72209255990873145e-1	-2.90419065013375333e-3	2.90419065013375333e-3	2.90419065013375333e-1	1.3
1	2	200	2.70754044682795014e-1	2.72209255990873145e-1	-1.45521130807813037e-3	1.45521130807813037e-3	2.91042261615626074e-1	5.2
1	2	500	2.71626422468051743e-1	2.72209255990873145e-1	-5.82833522821402106e-4	5.82833522821402106e-4	2.91416761410701053e-1	13.6
1	2	1000	2.71917714300557889e-1	2.72209255990873145e-1	-2.91541690315255675e-4	2.91541690315255675e-4	2.91541690315255675e-1	28.4
1	2	2000	2.72063453904586083e-1	2.72209255990873145e-1	-1.45802086287061261e-4	1.45802086287061261e-4	2.91604172574122522e-1	53.1
1	2	5000	2.72150927657350883e-1	2.72209255990873145e-1	-5.83283335222617438e-5	5.83283335222617438e-5	2.91641667611308719e-1	99.9
1	2	10000	2.72180090574182854e-1	2.72209255990873145e-1	-2.91654166902910461e-5	2.91654166902910461e-5	2.91654166902910461e-1	130.6
1	2	20000	2.72194672970036855e-1	2.72209255990873145e-1	-1.45830208362895952e-5	1.45830208362895952e-5	2.91660416725791904e-1	253.6
1	2	50000	2.72203422707539611e-1	2.72209255990873145e-1	-5.83328333353394513e-6	5.83328333353394513e-6	2.91664166676697256e-1	609.1
1	3	10	2.13964778565107788e-1	2.41670136128850632e-1	-2.77053575637428440e-2	2.77053575637428440e-2	2.77053575637428440e-1	0.2
1	3	20	2.27776905177220795e-1	2.41670136128850632e-1	-1.38932309516298369e-2	1.38932309516298369e-2	2.77864619032596738e-1	0.2
1	3	50	2.36114282285507432e-1	2.41670136128850632e-1	-5.55585384334320032e-3	5.55585384334320032e-3	2.77792692167160016e-1	0.5
1	3	100	2.38892430774753861e-1	2.41670136128850632e-1	-2.77770535409677111e-3	2.77770535409677111e-3	2.77770535409677111e-1	1.1
1	3	200	2.40281242427850789e-1	2.41670136128850632e-1	-1.38889370099984366e-3	1.38889370099984366e-3	2.77778740199968732e-1	2.2
1	3	500	2.41114580263432410e-1	2.41670136128850632e-1	-5.55555865418222439e-4	5.55555865418222439e-4	2.77777932709111219e-1	5.7
1	3	1000	2.41392358423317077e-1	2.41670136128850632e-1	-2.77777705533555075e-4	2.77777705533555075e-4	2.77777705533555075e-1	12.2
1	3	2000	2.41531247235105495e-1	2.41670136128850632e-1	-1.38888893745137132e-4	1.38888893745137132e-4	2.77777787490274264e-1	24.3
1	3	5000	2.41614580572984072e-1	2.41670136128850632e-1	-5.55555558665599136e-5	5.55555558665599136e-5	2.77777779332799568e-1	61.3
1	3	10000	2.41642358351145059e-1	2.41670136128850632e-1	-2.77777777055732145e-5	2.77777777055732145e-5	2.77777777055732145e-1	125.3
1	3	20000	2.41656247239956878e-1	2.41670136128850632e-1	-1.38888888937538368e-5	1.38888888937538368e-5	2.77777777875076737e-1	245.2
1	3	50000	2.41664580573294763e-1	2.41670136128850632e-1	-5.55555555586950689e-6	5.55555555586950689e-6	2.77777777793475344e-1	606.9
1	4	10	1.86952159341431529e-1	2.14402531371785998e-1	-2.74503720303544696e-2	2.74503720303544696e-2	2.74503720303544696e-1	0.1
1	4	20	2.01373408974540424e-1	2.14402531371785998e-1	-1.30291223972455739e-2	1.30291223972455739e-2	2.60582447944911477e-1	0.2
1	4	50	2.08969472952895308e-1	2.14402531371785998e-1	-5.43305841889069052e-3	5.43305841889069052e-3	2.71652920944534526e-1	0.6
1	4	100	2.11714975212029199e-1	2.14402531371785998e-1	-2.68755615975679873e-3	2.68755615975679873e-3	2.68755615975679873e-1	1.1
1	4	200	2.13053566185772814e-1	2.14402531371785998e-1	-1.34896518601318460e-3	1.34896518601318460e-3	2.69793037202636921e-1	2.3
1	4	500	2.13861697606347684e-1	2.14402531371785998e-1	-5.40833765438314407e-4	5.40833765438314407e-4	2.70416882719157203e-1	6.0
1	4	1000	2.14131906318043130e-1	2.14402531371785998e-1	-2.70625053742867827e-4	2.70625053742867827e-4	2.70625053742867827e-1	11.5
1	4	2000	2.14267166781751700e-1	2.14402531371785998e-1	-1.35364590034298127e-4	1.35364590034298127e-4	2.70729180068596254e-1	24.7
1	4	5000	2.14348373038024453e-1	2.14402531371785998e-1	-5.41583337615447746e-5	5.41583337615447746e-5	2.70791668807723873e-1	61.4
1	4	10000	2.14375450121732480e-1	2.14402531371785998e-1	-2.70812500535178025e-5	2.70812500535178025e-5	2.70812500535178025e-1	121.9
