j	k	gcd	formula	integral	error	digits	time_ms
1	1	1	2.606614015078126e-1	2.606580682161455e-1	3.33329e-6	5	909.9
2	2	2	3.803307007539063e-1	3.803290341080727e-1	1.66665e-6	5	902.7
3	3	3	3.091093560581598e-1	3.091082449609374e-1	1.11110e-6	5	906.7
4	4	4	2.526653503769531e-1	2.526645170540364e-1	8.33323e-7	6	898.7
5	5	5	2.121322803015625e-1	2.121316136432291e-1	6.66658e-7	6	905.6
6	6	6	1.823324558068577e-1	1.823319002582465e-1	5.55549e-7	6	912.7
7	7	7	1.596863226643814e-1	1.596858464798575e-1	4.76185e-7	6	910.6
8	8	8	1.419576751884766e-1	1.419572585270182e-1	4.16661e-7	6	911.8
9	9	9	1.277278100440779e-1	1.277274396783372e-1	3.70366e-7	6	907.6
10	10	10	1.160661401507813e-1	1.160658068216145e-1	3.33329e-7	6	914.6
11	11	11	1.063411191453383e-1	1.063408161188231e-1	3.03027e-7	6	921.3
12	12	12	9.811067234787327e-2	9.811039457356768e-2	2.77774e-7	6	924.0
13	13	13	9.105679419882583e-2	9.105653779177450e-2	2.56407e-7	6	908.9
14	14	14	8.494520214851722e-2	8.494496405625529e-2	2.38092e-7	6	910.3
15	15	15	7.959964898940973e-2	7.959942676996526e-2	2.22219e-7	6	911.2
1	2	1	2.722092559908731e-1	2.722063393533729e-1	2.91664e-6	5	1431.0
1	3	1	2.416701361288506e-1	2.416673583788503e-1	2.77775e-6	5	1444.6
1	4	1	2.144025313717860e-1	2.143998230676191e-1	2.70830e-6	5	1454.0
1	5	1	1.924788623380489e-1	1.924761957030488e-1	2.66664e-6	5	1297.1
1	6	1	1.748359150800768e-1	1.748332762259094e-1	2.63885e-6	5	1269.7
1	7	1	1.604060376407710e-1	1.604034186312463e-1	2.61901e-6	5	1363.7
1	8	1	1.483960883474764e-1	1.483934842224762e-1	2.60413e-6	5	1413.2
1	9	1	1.382401728541656e-1	1.382375802902771e-1	2.59256e-6	5	1265.4
1	10	1	1.295322051740821e-1	1.295296218899153e-1	2.58328e-6	5	1443.1
2	3	1	2.744368426127355e-1	2.744355231804437e-1	1.31943e-6	5	1708.4
2	4	2	2.611046279954365e-1	2.611031696766865e-1	1.45832e-6	5	1323.5
2	5	1	2.164052341247139e-1	2.164039424720054e-1	1.29165e-6	5	1704.4
2	6	2	2.041684013977586e-1	2.041670125227585e-1	1.38888e-6	5	1440.8
2	7	1	1.788527593842831e-1	1.788514796347293e-1	1.27975e-6	5	1629.9
2	8	2	1.697012656858930e-1	1.696999115338096e-1	1.35415e-6	5	1285.3
2	9	1	1.531816374839429e-1	1.531803643474844e-1	1.27314e-6	5	1378.4
2	10	2	1.462394311690245e-1	1.462380978515244e-1	1.33332e-6	5	1328.8
3	4	1	2.321146333077535e-1	2.321137768378459e-1	8.56470e-7	6	1752.2
3	5	1	2.068897702963464e-1	2.068889184548648e-1	8.51841e-7	6	1580.6
3	6	3	2.018475297747355e-1	2.018465575622354e-1	9.72213e-7	6	1284.5
3	7	1	1.731367423916173e-1	1.731358958380458e-1	8.46554e-7	6	1453.7
3	8	1	1.595795760003710e-1	1.595787311022228e-1	8.44898e-7	6	1385.8
3	9	3	1.546307861170243e-1	1.546298602003575e-1	9.25917e-7	6	1414.2
3	10	1	1.392428661869980e-1	1.392420236037572e-1	8.42583e-7	6	1545.5
4	5	1	1.973758381245246e-1	1.973752027168683e-1	6.35408e-7	6	1989.0
4	6	2	1.788850879730344e-1	1.788844282568886e-1	6.59716e-7	6	2071.6
4	7	1	1.637126947704327e-1	1.637120623353508e-1	6.32435e-7	6	1671.2
4	8	4	1.618023139977183e-1	1.618015848383432e-1	7.29159e-7	6	1272.6
4	9	1	1.423422470703690e-1	1.423416162933723e-1	6.30777e-7	6	1661.0
4	10	2	1.332026170623569e-1	1.332019712360027e-1	6.45826e-7	6	1457.7
5	6	1	1.708554534552582e-1	1.708549479044248e-1	5.05551e-7	6	1926.9
5	7	1	1.540228560106704e-1	1.540223512532418e-1	5.04757e-7	6	1774.3
5	8	1	1.428118747466716e-1	1.428113705863382e-1	5.04160e-7	6	1614.3
5	9	1	1.350626974853238e-1	1.350621937882792e-1	5.03697e-7	6	1953.8
5	10	5	1.344418511981746e-1	1.344412678706746e-1	5.83328e-7	6	1492.9
6	7	1	1.503665696081029e-1	1.503661496385096e-1	4.19970e-7	6	2245.6
6	8	2	1.368906499872101e-1	1.368902217522563e-1	4.28235e-7	6	2234.1
6	9	3	1.285159845746155e-1	1.285155447638516e-1	4.39811e-7	6	1886.0
6	10	2	1.201115518148399e-1	1.201111258940991e-1	4.25921e-7	6	1799.3
7	8	1	1.341765022096846e-1	1.341761429464192e-1	3.59263e-7	6	2332.5
7	9	1	1.223641884838073e-1	1.223638294554788e-1	3.59028e-7	6	2155.5
7	10	1	1.144411158488240e-1	1.144407570100655e-1	3.58839e-7	6	1991.5
8	9	1	1.211002129634582e-1	1.210998990214768e-1	3.13942e-7	6	2324.0
8	10	2	1.111879190622623e-1	1.111876013584341e-1	3.17704e-7	6	1874.6
9	10	1	1.103337628007506e-1	1.103334839984769e-1	2.78802e-7	6	2157.8
