j	k	gcd	formula	integral	error	digits	certified	time_ms
1	1	1	2.606614015078126e-1	2.606610681752293e-1	3.33333e-7	6	true	8605.0
2	2	2	3.803307007539063e-1	3.803305340876146e-1	1.66666e-7	6	true	8630.4
3	3	3	3.091093560581598e-1	3.091092449472986e-1	1.11111e-7	6	true	8791.7
4	4	4	2.526653503769531e-1	2.526652670438073e-1	8.33331e-8	7	true	8823.1
5	5	5	2.121322803015625e-1	2.121322136350459e-1	6.66665e-8	7	true	8974.9
6	6	6	1.823324558068577e-1	1.823324002514271e-1	5.55554e-8	7	true	8865.7
7	7	7	1.596863226643814e-1	1.596862750454409e-1	4.76189e-8	7	true	8934.8
8	8	8	1.419576751884766e-1	1.419576335219037e-1	4.16666e-8	7	true	8883.4
9	9	9	1.277278100440779e-1	1.277277730071242e-1	3.70370e-8	7	true	9103.5
10	10	10	1.160661401507813e-1	1.160661068175229e-1	3.33333e-8	7	true	8910.1
11	11	11	1.063411191453383e-1	1.063410888423762e-1	3.03030e-8	7	true	8930.8
12	12	12	9.811067234787327e-2	9.811064457015800e-2	2.77777e-8	7	true	8942.9
13	13	13	9.105679419882583e-2	9.105676855785788e-2	2.56410e-8	7	true	9030.9
14	14	14	8.494520214851722e-2	8.494517833904699e-2	2.38095e-8	7	true	8994.5
15	15	15	7.959964898940973e-2	7.959962676723750e-2	2.22222e-8	7	true	8922.6
16	16	16	7.488508759423829e-2	7.488506676095183e-2	2.08333e-8	7	true	8839.4
17	17	17	7.069634541741458e-2	7.069632580961556e-2	1.96078e-8	7	true	8875.1
18	18	18	6.695032477512539e-2	6.695030625664854e-2	1.85185e-8	7	true	8895.2
19	19	19	6.358051697686548e-2	6.358049943304531e-2	1.75438e-8	7	true	8886.7
20	20	20	6.053307007539063e-2	6.053305340876147e-2	1.66666e-8	7	true	9218.2
21	21	21	5.776392161375071e-2	5.776390574077055e-2	1.58730e-8	7	true	9111.9
22	22	22	5.523667527514851e-2	5.523666012366744e-2	1.51515e-8	7	true	9017.8
23	23	23	5.292100611470641e-2	5.292099162198539e-2	1.44927e-8	7	true	8913.6
24	24	24	5.079144728504775e-2	5.079143339619011e-2	1.38889e-8	7	true	9167.0
25	25	25	4.882645606031250e-2	4.882644272700917e-2	1.33333e-8	7	true	8960.8
