═══════════════════════════════════════════════════════════════
  APPROACH 1: Oscillation Orthogonality
  Testing: Are {k/x} approximately orthogonal on (0, 1/N)?
═══════════════════════════════════════════════════════════════

[1/4] Self-energy: ∫₀^{1/N} {k/x}² dx vs 1/(12N)

     N     k      ∫{k/x}² dx         1/(12N)       ratio
    10     2    0.0329122637    0.0083333333      3.9495
    10     3    0.0330592625    0.0083333333      3.9671
    10     5    0.0331514333    0.0083333333      3.9782
    10    10    0.0332321949    0.0083333333      3.9879
    10     5    0.0331514333    0.0083333333      3.9782
    10    10    0.0332321949    0.0083333333      3.9879

    20     2    0.0165580772    0.0041666667      3.9739
    20     3    0.0165976581    0.0041666667      3.9834
    20     5    0.0166160975    0.0041666667      3.9879
    20    10    0.0166321707    0.0041666667      3.9917
    20    10    0.0166321707    0.0041666667      3.9917
    20    20    0.0166409165    0.0041666667      3.9938

    50     2    0.0066462390    0.0016666667      3.9877
    50     3    0.0066526594    0.0016666667      3.9916
    50     5    0.0066562564    0.0016666667      3.9938
    50    10    0.0066590175    0.0016666667      3.9954
    50    25    0.0066621656    0.0016666667      3.9973
    50    50    0.0066636712    0.0016666667      3.9982

   100     2    0.0033263241    0.0008333333      3.9916
   100     3    0.0033287106    0.0008333333      3.9945
   100     5    0.0033295088    0.0008333333      3.9954
   100    10    0.0033292448    0.0008333333      3.9951
   100    50    0.0033307670    0.0008333333      3.9969
   100   100    0.0033301918    0.0008333333      3.9962

   200     2    0.0016640316    0.0004166667      3.9937
   200     3    0.0016644333    0.0004166667      3.9946
   200     5    0.0016646224    0.0004166667      3.9951
   200    10    0.0016646979    0.0004166667      3.9953
   200   100    0.0016647302    0.0004166667      3.9954
   200   200    0.0016648956    0.0004166667      3.9957

   500     2    0.0006658710    0.0001666667      3.9952
   500     3    0.0006658724    0.0001666667      3.9952
   500     5    0.0006663971    0.0001666667      3.9984
   500    10    0.0006661864    0.0001666667      3.9971
   500   250    0.0006663725    0.0001666667      3.9982
   500   500    0.0006658418    0.0001666667      3.9951

[2/4] Cross-correlations: ∫₀^{1/N} ({j/x}-½)({k/x}-½) dx

     N     j     k      cross-corr  bound C/(N·|j-k|)       ratio
    20     2     3    0.0006950875    0.0500000000      0.0139
    20     2     4    0.0020835972    0.0250000000      0.0833
    20     2     5    0.0004175153    0.0166666667      0.0251
    20     2     6    0.0013888955    0.0125000000      0.1111
    20     2     7    0.0002983340    0.0100000000      0.0298
    20     2     8    0.0010418124    0.0083333333      0.1250
    20     2     9    0.0002314424    0.0071428571      0.0324
    20     2    10    0.0008330483    0.0062500000      0.1333
    20     3     4    0.0003479065    0.0500000000      0.0070
    20     3     5    0.0002781777    0.0250000000      0.0111
    20     3     6    0.0020840421    0.0166666667      0.1250
    20     3     7    0.0001984565    0.0125000000      0.0159
    20     3     8    0.0001742619    0.0100000000      0.0174
    20     3     9    0.0013895197    0.0083333333      0.1667
    20     3    10    0.0001386727    0.0071428571      0.0194
    20     4     5    0.0002090248    0.0500000000      0.0042
    20     4     6    0.0006944479    0.0250000000      0.0278
    20     4     7    0.0001496374    0.0166666667      0.0090
    20     4     8    0.0020831193    0.0125000000      0.1666
    20     4     9    0.0001157045    0.0100000000      0.0116
    20     4    10    0.0004170039    0.0083333333      0.0500
    20     5     6    0.0001391787    0.0500000000      0.0028
    20     5     7    0.0001191915    0.0250000000      0.0048
    20     5     8    0.0001039728    0.0166666667      0.0062
    20     5     9    0.0000934332    0.0125000000      0.0075
    20     5    10    0.0020838020    0.0100000000      0.2084
    20     6     7    0.0000996881    0.0500000000      0.0020
    20     6     8    0.0003472999    0.0250000000      0.0139
    20     6     9    0.0006946165    0.0166666667      0.0417
    20     7     8    0.0000746599    0.0500000000      0.0015
    20     7     9    0.0000667744    0.0250000000      0.0027
    20     7    10    0.0000601108    0.0166666667      0.0036
    20     8     9    0.0000581058    0.0500000000      0.0012
    20     8    10    0.0002088104    0.0250000000      0.0084
    20     8    11    0.0000483214    0.0166666667      0.0029
    20     9    10    0.0000479181    0.0500000000      0.0010
    20     9    11    0.0000422100    0.0250000000      0.0017
    20     9    12    0.0003476965    0.0166666667      0.0209
    20    10    11    0.0000374221    0.0500000000      0.0007
    20    10    12    0.0001386178    0.0250000000      0.0055
    20    10    13    0.0000318081    0.0166666667      0.0019
    20    11    12    0.0000326423    0.0500000000      0.0007
    20    11    13    0.0000296742    0.0250000000      0.0012
    20    11    14    0.0000270123    0.0166666667      0.0016
    20    12    13    0.0000278965    0.0500000000      0.0006
    20    12    14    0.0000989859    0.0250000000      0.0040
    20    12    15    0.0002087588    0.0166666667      0.0125
    20    13    14    0.0000221870    0.0500000000      0.0004
    20    13    15    0.0000215597    0.0250000000      0.0009
    20    13    16    0.0000192458    0.0166666667      0.0012
    20    14    15    0.0000209440    0.0500000000      0.0004
    20    14    16    0.0000744007    0.0250000000      0.0030
    20    14    17    0.0000181366    0.0166666667      0.0011
    20    15    16    0.0000173504    0.0500000000      0.0003
    20    15    17    0.0000157645    0.0250000000      0.0006
    20    15    18    0.0001385456    0.0166666667      0.0083
    20    16    17    0.0000153117    0.0500000000      0.0003
    20    16    18    0.0000582300    0.0250000000      0.0023
    20    16    19    0.0000147714    0.0166666667      0.0009
    20    17    18    0.0000137875    0.0500000000      0.0003
    20    17    19    0.0000132707    0.0250000000      0.0005
    20    17    20    0.0000128152    0.0166666667      0.0008
    20    18    19    0.0000127667    0.0500000000      0.0003
    20    18    20    0.0000474650    0.0250000000      0.0019
    20    19    20    0.0000125875    0.0500000000      0.0003
  N=20: max |CC|/bound = 0.4168

    50     2     3    0.0002782246    0.0200000000      0.0139
    50     2     4    0.0008335208    0.0100000000      0.0834
    50     2     5    0.0001670595    0.0066666667      0.0251
    50     2     6    0.0005557991    0.0050000000      0.1112
    50     2     7    0.0001191590    0.0040000000      0.0298
    50     2     8    0.0004168667    0.0033333333      0.1251
    50     2     9    0.0000930025    0.0028571429      0.0326
    50     2    10    0.0003335782    0.0025000000      0.1334
    50     3     4    0.0001391078    0.0200000000      0.0070
    50     3     5    0.0001114429    0.0100000000      0.0111
    50     3     6    0.0008337643    0.0066666667      0.1251
    50     3     7    0.0000797036    0.0050000000      0.0159
    50     3     8    0.0000696470    0.0040000000      0.0174
    50     3     9    0.0005558877    0.0033333333      0.1668
    50     3    10    0.0000555332    0.0028571429      0.0194
    50     4     5    0.0000834616    0.0200000000      0.0042
    50     4     6    0.0002779328    0.0100000000      0.0278
    50     4     7    0.0000597596    0.0066666667      0.0090
    50     4     8    0.0008336169    0.0050000000      0.1667
    50     4     9    0.0000463005    0.0040000000      0.0116
    50     4    10    0.0001669639    0.0033333333      0.0501
    50     5     6    0.0000561992    0.0200000000      0.0028
    50     5     7    0.0000479448    0.0100000000      0.0048
    50     5     8    0.0000420672    0.0066666667      0.0063
    50     5     9    0.0000375251    0.0050000000      0.0075
    50     5    10    0.0008334276    0.0040000000      0.2084
    50     6     7    0.0000397380    0.0200000000      0.0020
    50     6     8    0.0001391709    0.0100000000      0.0139
    50     6     9    0.0002782385    0.0066666667      0.0417
    50     7     8    0.0000302409    0.0200000000      0.0015
    50     7     9    0.0000264658    0.0100000000      0.0026
    50     7    10    0.0000243752    0.0066666667      0.0037
    50     8     9    0.0000231753    0.0200000000      0.0012
    50     8    10    0.0000834733    0.0100000000      0.0083
    50     8    11    0.0000193077    0.0066666667      0.0029
    50     9    10    0.0000186625    0.0200000000      0.0009
    50     9    11    0.0000169503    0.0100000000      0.0017
    50     9    12    0.0001392283    0.0066666667      0.0209
    50    10    11    0.0000155471    0.0200000000      0.0008
    50    10    12    0.0000558479    0.0100000000      0.0056
    50    10    13    0.0000130808    0.0066666667      0.0020
    50    11    12    0.0000131971    0.0200000000      0.0007
    50    11    13    0.0000120594    0.0100000000      0.0012
    50    11    14    0.0000105655    0.0066666667      0.0016
    50    12    13    0.0000105359    0.0200000000      0.0005
    50    12    14    0.0000400026    0.0100000000      0.0040
    50    12    15    0.0000836918    0.0066666667      0.0126
    50    13    14    0.0000095045    0.0200000000      0.0005
    50    13    15    0.0000086881    0.0100000000      0.0009
    50    13    16    0.0000083545    0.0066666667      0.0013
    50    14    15    0.0000082152    0.0200000000      0.0004
    50    14    16    0.0000302664    0.0100000000      0.0030
    50    14    17    0.0000073284    0.0066666667      0.0011
    50    15    16    0.0000076332    0.0200000000      0.0004
    50    15    17    0.0000065750    0.0100000000      0.0007
    50    15    18    0.0000561094    0.0066666667      0.0084
    50    16    17    0.0000055291    0.0200000000      0.0003
    50    16    18    0.0000228102    0.0100000000      0.0023
    50    16    19    0.0000058726    0.0066666667      0.0009
    50    17    18    0.0000061191    0.0200000000      0.0003
    50    17    19    0.0000055214    0.0100000000      0.0006
    50    17    20    0.0000055249    0.0066666667      0.0008
    50    18    19    0.0000053455    0.0200000000      0.0003
    50    18    20    0.0000190333    0.0100000000      0.0019
    50    19    20    0.0000048284    0.0200000000      0.0002
  N=50: max |CC|/bound = 0.4168

   100     2     3    0.0001389664    0.0100000000      0.0139
   100     2     4    0.0004168084    0.0050000000      0.0834
   100     2     5    0.0000834819    0.0033333333      0.0250
   100     2     6    0.0002778374    0.0025000000      0.1111
   100     2     7    0.0000595530    0.0020000000      0.0298
   100     2     8    0.0002083794    0.0016666667      0.1250
   100     2     9    0.0000464368    0.0014285714      0.0325
   100     2    10    0.0001668410    0.0012500000      0.1335
   100     3     4    0.0000695855    0.0100000000      0.0070
   100     3     5    0.0000556428    0.0050000000      0.0111
   100     3     6    0.0004168081    0.0033333333      0.1250
   100     3     7    0.0000398711    0.0025000000      0.0159
   100     3     8    0.0000347565    0.0020000000      0.0174
   100     3     9    0.0002778736    0.0016666667      0.1667
   100     3    10    0.0000278995    0.0014285714      0.0195
   100     4     5    0.0000417367    0.0100000000      0.0042
   100     4     6    0.0001390488    0.0050000000      0.0278
   100     4     7    0.0000298413    0.0033333333      0.0090
   100     4     8    0.0004167579    0.0025000000      0.1667
   100     4     9    0.0000231467    0.0020000000      0.0116
   100     4    10    0.0000834714    0.0016666667      0.0501
   100     5     6    0.0000279239    0.0100000000      0.0028
   100     5     7    0.0000240154    0.0050000000      0.0048
   100     5     8    0.0000210526    0.0033333333      0.0063
   100     5     9    0.0000187276    0.0025000000      0.0075
   100     5    10    0.0004167705    0.0020000000      0.2084
   100     6     7    0.0000200013    0.0100000000      0.0020
   100     6     8    0.0000696351    0.0050000000      0.0139
   100     6     9    0.0001390321    0.0033333333      0.0417
   100     7     8    0.0000151332    0.0100000000      0.0015
   100     7     9    0.0000132950    0.0050000000      0.0027
   100     7    10    0.0000120940    0.0033333333      0.0036
   100     8     9    0.0000114051    0.0100000000      0.0011
   100     8    10    0.0000417476    0.0050000000      0.0083
   100     8    11    0.0000095555    0.0033333333      0.0029
   100     9    10    0.0000095166    0.0100000000      0.0010
   100     9    11    0.0000084355    0.0050000000      0.0017
   100     9    12    0.0000694496    0.0033333333      0.0208
   100    10    11    0.0000075462    0.0100000000      0.0008
   100    10    12    0.0000279137    0.0050000000      0.0056
   100    10    13    0.0000064052    0.0033333333      0.0019
   100    11    12    0.0000066359    0.0100000000      0.0007
   100    11    13    0.0000060466    0.0050000000      0.0012
   100    11    14    0.0000053813    0.0033333333      0.0016
   100    12    13    0.0000051894    0.0100000000      0.0005
   100    12    14    0.0000200465    0.0050000000      0.0040
   100    12    15    0.0000418903    0.0033333333      0.0126
   100    13    14    0.0000047214    0.0100000000      0.0005
   100    13    15    0.0000043395    0.0050000000      0.0009
   100    13    16    0.0000041967    0.0033333333      0.0013
   100    14    15    0.0000040391    0.0100000000      0.0004
   100    14    16    0.0000151164    0.0050000000      0.0030
   100    14    17    0.0000038546    0.0033333333      0.0012
   100    15    16    0.0000038349    0.0100000000      0.0004
   100    15    17    0.0000033931    0.0050000000      0.0007
   100    15    18    0.0000279905    0.0033333333      0.0084
   100    16    17    0.0000027921    0.0100000000      0.0003
   100    16    18    0.0000115634    0.0050000000      0.0023
   100    16    19    0.0000029199    0.0033333333      0.0009
   100    17    18    0.0000028546    0.0100000000      0.0003
   100    17    19    0.0000026228    0.0050000000      0.0005
   100    17    20    0.0000025120    0.0033333333      0.0008
   100    18    19    0.0000025944    0.0100000000      0.0003
   100    18    20    0.0000094784    0.0050000000      0.0019
   100    19    20    0.0000024688    0.0100000000      0.0002
  N=100: max |CC|/bound = 0.4168

   200     2     3    0.0000695244    0.0050000000      0.0139
   200     2     4    0.0002083789    0.0025000000      0.0834
   200     2     5    0.0000417357    0.0016666667      0.0250
   200     2     6    0.0001389474    0.0012500000      0.1112
   200     2     7    0.0000297812    0.0010000000      0.0298
   200     2     8    0.0001041560    0.0008333333      0.1250
   200     2     9    0.0000232061    0.0007142857      0.0325
   200     2    10    0.0000833637    0.0006250000      0.1334
