N	T	diagonal	off_diagonal	total	ratio_offdiag_diag	mv_bound	bessel_bound	off_vs_mv	off_vs_bessel
10	10	2.730336039273091e1	-2.396736357846348e0	2.490662403488456e1	8.778173541174961e-2	1.033885516884957e1	8.577603642811795e0	2.318183511330723e-1	2.794179420792964e-1
10	100	2.730336039273091e2	1.821444844079711e-1	2.732157484117170e2	6.671137976718215e-4	1.033885516884957e1	8.577603642811795e0	1.761747131894863e-2	2.123489170085539e-2
10	1000	2.730336039273091e3	-1.975361397620511e0	2.728360677875471e3	7.234865486178102e-4	1.033885516884957e1	8.577603642811795e0	1.910619082441711e-1	2.302929209460388e-1
10	10000	2.730336039273091e4	-1.769035780895959e0	2.730159135695001e4	6.479187013796796e-5	1.033885516884957e1	8.577603642811795e0	1.711055771654459e-1	2.062389280925153e-1
20	10	3.057483530217604e1	-4.111111455320668e0	2.646372384685538e1	1.344606247160414e-1	1.306808922760306e1	9.605367797003412e0	3.145916272623067e-1	4.280014614956454e-1
20	100	3.057483530217605e2	7.062474076051337e-1	3.064546004293656e2	2.309897667886601e-3	1.306808922760306e1	9.605367797003412e0	5.404366279603930e-2	7.352632637611876e-2
20	1000	3.057483530217604e3	-2.012438617285214e0	3.055471091600319e3	6.582009673628516e-4	1.306808922760306e1	9.605367797003412e0	1.539963939819481e-1	2.095118750073302e-1
20	10000	3.057483530217604e4	-2.624808090473445e0	3.057221049408557e4	8.584864201334340e-5	1.306808922760306e1	9.605367797003412e0	2.008563030721581e-1	2.732647146830033e-1
50	10	3.473498989381315e1	-6.855803245663135e0	2.787918664815001e1	1.973745570855704e-1	1.841630009876572e1	1.091231890729191e1	3.722682193978050e-1	6.282627280148402e-1
50	100	3.473498989381315e2	9.731324546582499e-1	3.483230313927897e2	2.801591299243706e-3	1.841630009876572e1	1.091231890729191e1	5.284082304476947e-2	8.917742075957624e-2
50	1000	3.473498989381315e3	-1.894568488817381e0	3.471604420892498e3	5.454351633926440e-4	1.841630009876572e1	1.091231890729191e1	1.028745447596370e-1	1.736174047801498e-1
50	10000	3.473498989381315e4	-3.979055277884168e0	3.473101083853527e4	1.145546692268622e-4	1.841630009876572e1	1.091231890729191e1	2.160616006768291e-1	3.646388372342431e-1
100	10	3.779178797973039e1	-9.160677027825615e0	2.863111095190478e1	2.423986140253258e-1	2.479322615488055e1	1.187264034831441e1	3.694830584208718e-1	7.715787524151007e-1
100	100	3.779178797973039e2	9.409036606933244e-1	3.788587834579972e2	2.489704009765237e-3	2.479322615488055e1	1.187264034831441e1	3.795002936752172e-2	7.924973999796998e-2
100	1000	3.779178797973039e3	-1.822736031376440e0	3.777356061941663e3	4.823100807916429e-4	2.479322615488055e1	1.187264034831441e1	7.351750111058600e-2	1.535240669220827e-1
100	10000	3.779178797973039e4	-4.934427353800579e0	3.778685355237659e4	1.305687721482550e-4	2.479322615488055e1	1.187264034831441e1	1.990232058940517e-1	4.156133100166834e-1
200	10	4.079590521257999e1	-1.158349941684145e1	2.921240579573854e1	2.839377961214969e-1	3.474734753857227e1	1.281641161123868e1	3.333635582970141e-1	9.038020756671002e-1
200	100	4.079590521257999e2	7.937198942129484e-1	4.087527720200129e2	1.945587161449217e-3	3.474734753857227e1	1.281641161123868e1	2.284260383708015e-2	6.192996279215448e-2
200	1000	4.079590521257999e3	-1.601141457257655e0	4.077989379800742e3	3.924760215306904e-4	3.474734753857227e1	1.281641161123868e1	4.607953040099716e-2	1.249289977433010e-1
200	10000	4.079590521257999e4	-5.993723112866766e0	4.078991148946713e4	1.469197234779954e-4	3.474734753857227e1	1.281641161123868e1	1.724944071259904e-1	4.676600045843473e-1
300	10	4.253463691273463e1	-1.305131412744637e1	2.948332278528825e1	3.068396740807463e-1	4.316220149474258e1	1.336265028481563e1	3.023783235207803e-1	9.767010173331380e-1
300	100	4.253463691273462e2	9.606946973808822e-1	4.263070638247271e2	2.258617369537850e-3	4.316220149474258e1	1.336265028481563e1	2.225777796570225e-2	7.189402378303258e-2
300	1000	4.253463691273462e3	-1.070176810100509e0	4.252393514463361e3	2.516012567113519e-4	4.316220149474258e1	1.336265028481563e1	2.479430550433956e-2	8.008716738748914e-2
300	10000	4.253463691273463e4	-6.604014788214744e0	4.252803289794641e4	1.552620468293580e-4	4.316220149474258e1	1.336265028481563e1	1.530045864092255e-1	4.942144445491534e-1
500	10	4.471014218398732e1	-1.491422724987619e1	2.979591493411113e1	3.335759297857396e-1	5.787470228870335e1	1.404610542261697e1	2.576985567109745e-1	1.061805162437509e0
500	100	4.471014218398731e2	1.607390635053849e0	4.487088124749270e2	3.595136487017318e-3	5.787470228870335e1	1.404610542261697e1	2.777363116332779e-2	1.144367485997675e-1
500	1000	4.471014218398731e3	-1.799689520684243e-1	4.470834249446662e3	4.025237748693163e-5	5.787470228870335e1	1.404610542261697e1	3.109630718628382e-3	1.281272969649218e-2
500	10000	4.471014218398731e4	-7.356778194679642e0	4.470278540579264e4	1.645438335759628e-4	5.787470228870335e1	1.404610542261697e1	1.271156118951755e-1	5.237592893780930e-1
750	10	4.642688720014996e1	-1.641643314001146e1	3.001045406013850e1	3.535975407793102e-1	7.416309142757196e1	1.458543677570331e1	2.213558364950823e-1	1.125535929603305e0
750	100	4.642688720014997e2	2.466999857414547e0	4.667358718589142e2	5.313730913681799e-3	7.416309142757196e1	1.458543677570331e1	3.326452295780889e-2	1.691413082345344e-1
750	1000	4.642688720014997e3	3.964950407716697e-1	4.643085215055768e3	8.540202987599586e-5	7.416309142757196e1	1.458543677570331e1	5.346258268627984e-3	2.718431040969294e-2
750	10000	4.642688720014997e4	-8.139791542728286e0	4.641874740860724e4	1.753249471074165e-4	7.416309142757196e1	1.458543677570331e1	1.097552891343216e-1	5.580766395894088e-1
1000	10	4.764038649187064e1	-1.749622100335128e1	3.014416548851936e1	3.672560676294437e-1	8.910215612390087e1	1.496666882170392e1	1.963613650271486e-1	1.169012370874348e0
1000	100	4.764038649187063e2	3.260362781587239e0	4.796642277002936e2	6.843695069819780e-3	8.910215612390087e1	1.496666882170392e1	3.659128940778433e-2	2.178415798750904e-1
1000	1000	4.764038649187063e3	6.069244683517239e-1	4.764645573655414e3	1.273970496556088e-4	8.910215612390087e1	1.496666882170392e1	6.811557595842753e-3	4.055174037602757e-2
1000	10000	4.764038649187063e4	-8.818255505048832e0	4.763156823636558e4	1.851004190856760e-4	8.910215612390087e1	1.496666882170392e1	9.896792500494174e-2	5.891929333173348e-1
2000	10	5.055099546910149e1	-2.011789224617933e1	3.043310322292216e1	3.979722270449862e-1	1.418763055193830e2	1.588106359973801e1	1.417988167406209e-1	1.266784942949993e0
2000	100	5.055099546910149e2	5.383804803458437e0	5.108937594944733e2	1.065024487351432e-2	1.418763055193830e2	1.588106359973801e1	3.794717365771064e-2	3.390078233517843e-1
2000	1000	5.055099546910148e3	-1.674519354164535e-1	5.054932094974732e3	3.312534874190676e-5	1.418763055193830e2	1.588106359973801e1	1.180267098184174e-3	1.054412598783471e-2
2000	10000	5.055099546910149e4	-1.125848329857827e1	5.053973698580291e4	2.227153628549183e-4	1.418763055193830e2	1.588106359973801e1	7.935421815054344e-2	7.089250180173068e-1
