band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.851350420912288e-1
1	2	[2,4)	[4,8)	3.056789234100886e-1
1	3	[2,4)	[8,16)	-1.505979719841829e-1
1	4	[2,4)	[16,32)	2.724841602175196e-1
1	5	[2,4)	[32,64)	-1.805756234370155e-1
1	6	[2,4)	[64,128)	3.882022151086599e-2
1	7	[2,4)	[128,256)	-1.147218504272401e-2
1	8	[2,4)	[256,512)	1.935650728051064e-2
1	9	[2,4)	[512,1024)	-6.996500618357894e-3
1	10	[2,4)	[1024,2048)	-7.593786922813359e-3
1	11	[2,4)	[2048,4096)	8.489874124167360e-3
1	12	[2,4)	[4096,8192)	-3.631768050061055e-3
1	13	[2,4)	[8192,16384)	4.536920620757121e-4
2	1	[4,8)	[2,4)	3.056789234100886e-1
2	2	[4,8)	[4,8)	3.098562584844415e-4
2	3	[4,8)	[8,16)	1.865000074354940e-2
2	4	[4,8)	[16,32)	1.552603379711738e-1
2	5	[4,8)	[32,64)	-9.373469655863624e-2
2	6	[4,8)	[64,128)	1.860470173519654e-2
2	7	[4,8)	[128,256)	-5.083225321901772e-3
2	8	[4,8)	[256,512)	8.371070179505070e-3
2	9	[4,8)	[512,1024)	-3.005445485627909e-3
2	10	[4,8)	[1024,2048)	-3.256268115837054e-3
2	11	[4,8)	[2048,4096)	3.641927381567329e-3
2	12	[4,8)	[4096,8192)	-1.560000123307489e-3
2	13	[4,8)	[8192,16384)	1.953050138618800e-4
3	1	[8,16)	[2,4)	-1.505979719841829e-1
3	2	[8,16)	[4,8)	1.865000074354939e-2
3	3	[8,16)	[8,16)	2.170582930885783e-4
3	4	[8,16)	[16,32)	-6.035308525459247e-4
3	5	[8,16)	[32,64)	4.939156845007930e-3
3	6	[8,16)	[64,128)	1.008846260740730e-1
3	7	[8,16)	[128,256)	6.494760571770525e-3
3	8	[8,16)	[256,512)	-8.578223033421140e-3
3	9	[8,16)	[512,1024)	2.871883214708628e-3
3	10	[8,16)	[1024,2048)	2.686528611760641e-3
3	11	[8,16)	[2048,4096)	-2.989787176191717e-3
3	12	[8,16)	[4096,8192)	1.273681836553112e-3
3	13	[8,16)	[8192,16384)	-1.592454250314350e-4
4	1	[16,32)	[2,4)	2.724841602175196e-1
4	2	[16,32)	[4,8)	1.552603379711738e-1
4	3	[16,32)	[8,16)	-6.035308525459246e-4
4	4	[16,32)	[16,32)	1.604199986145124e-3
4	5	[16,32)	[32,64)	-1.473272736435896e-3
4	6	[16,32)	[64,128)	-3.739911452455981e-2
4	7	[16,32)	[128,256)	1.208832108894883e-1
4	8	[16,32)	[256,512)	8.326946538751957e-2
4	9	[16,32)	[512,1024)	-2.665992011240435e-2
4	10	[16,32)	[1024,2048)	-7.672034868259552e-3
4	11	[16,32)	[2048,4096)	8.364338674099601e-3
4	12	[16,32)	[4096,8192)	-3.441075868096215e-3
4	13	[16,32)	[8192,16384)	4.220030024001091e-4
5	1	[32,64)	[2,4)	-1.805756234370155e-1
5	2	[32,64)	[4,8)	-9.373469655863625e-2
5	3	[32,64)	[8,16)	4.939156845007957e-3
5	4	[32,64)	[16,32)	-1.473272736435896e-3
5	5	[32,64)	[32,64)	1.352459016795669e-3
5	6	[32,64)	[64,128)	-4.222184971257922e-4
5	7	[32,64)	[128,256)	3.159650663365936e-4
5	8	[32,64)	[256,512)	-4.848001545171256e-3
5	9	[32,64)	[512,1024)	8.593519987033968e-2
5	10	[32,64)	[1024,2048)	-1.126930750178224e-1
5	11	[32,64)	[2048,4096)	-1.074920223569017e-2
5	12	[32,64)	[4096,8192)	3.437138865079417e-3
5	13	[32,64)	[8192,16384)	-3.922804085506009e-4
6	1	[64,128)	[2,4)	3.882022151086599e-2
6	2	[64,128)	[4,8)	1.860470173519654e-2
6	3	[64,128)	[8,16)	1.008846260740730e-1
6	4	[64,128)	[16,32)	-3.739911452455981e-2
6	5	[64,128)	[32,64)	-4.222184971257919e-4
6	6	[64,128)	[64,128)	7.374809213483005e-4
6	7	[64,128)	[128,256)	-5.175153204463984e-5
6	8	[64,128)	[256,512)	1.369799363653122e-4
6	9	[64,128)	[512,1024)	-2.164465071829327e-5
6	10	[64,128)	[1024,2048)	1.772038614034975e-2
6	11	[64,128)	[2048,4096)	-1.077319577324569e-1
6	12	[64,128)	[4096,8192)	2.079281507833386e-2
6	13	[64,128)	[8192,16384)	4.785606005457442e-5
7	1	[128,256)	[2,4)	-1.147218504272400e-2
7	2	[128,256)	[4,8)	-5.083225321901775e-3
7	3	[128,256)	[8,16)	6.494760571770496e-3
7	4	[128,256)	[16,32)	1.208832108894882e-1
7	5	[128,256)	[32,64)	3.159650663365937e-4
7	6	[128,256)	[64,128)	-5.175153204463990e-5
7	7	[128,256)	[128,256)	1.791440053901442e-2
7	8	[128,256)	[256,512)	1.454093073730863e-2
7	9	[128,256)	[512,1024)	1.714583443479780e-2
7	10	[128,256)	[1024,2048)	-1.499262584608819e-4
7	11	[128,256)	[2048,4096)	-3.112152872460373e-2
7	12	[128,256)	[4096,8192)	1.163782010906456e-2
7	13	[128,256)	[8192,16384)	8.850738443576852e-4
8	1	[256,512)	[2,4)	1.935650728051062e-2
8	2	[256,512)	[4,8)	8.371070179505074e-3
8	3	[256,512)	[8,16)	-8.578223033421144e-3
8	4	[256,512)	[16,32)	8.326946538751956e-2
