d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.181176800942004e0	1.181176800942004e0	64.2581	1.000000	1
2	7.532917045689226e-1	7.532917045689226e-1	105.2386	1.500000	2 (prime)
3	4.223558350171759e-1	4.223558350171759e-1	128.2155	1.333333	3 (prime)
5	-2.381772459433268e-1	2.381772459433268e-1	141.1727	1.200000	5 (prime)
6	-1.382077647941254e-1	1.382077647941254e-1	148.6915	2.000000	2·3
7	-5.869223048112162e-2	5.869223048112162e-2	151.8844	1.142857	7 (prime)
10	-2.816334795495202e-2	2.816334795495202e-2	153.4166	1.800000	2·5
11	-5.538564057847106e-2	5.538564057847106e-2	156.4297	1.090909	11 (prime)
13	2.629496516190655e-2	2.629496516190655e-2	157.8602	1.076923	13 (prime)
14	-1.518716300039178e-3	1.518716300039178e-3	157.9428	1.714286	2·7
15	-5.883312052093715e-2	5.883312052093715e-2	161.1434	1.600000	3·5
17	3.111054336811505e-3	3.111054336811505e-3	161.3126	1.058824	17 (prime)
19	3.667146916674741e-2	3.667146916674741e-2	163.3076	1.052632	19 (prime)
21	1.752979052899518e-2	1.752979052899518e-2	164.2613	1.523810	3·7
22	-2.528431203389301e-2	2.528431203389301e-2	165.6368	1.636364	2·11
23	-9.669652013092856e-3	9.669652013092856e-3	166.1629	1.043478	23 (prime)
26	-1.561101669162060e-2	1.561101669162060e-2	167.0121	1.615385	2·13
29	4.915621358553380e-2	4.915621358553380e-2	169.6863	1.034483	29 (prime)
30	-3.661831884528176e-3	3.661831884528176e-3	169.8855	2.400000	2·3·5
31	2.252399221282048e-2	2.252399221282048e-2	171.1109	1.032258	31 (prime)
33	-3.217875155902156e-2	3.217875155902156e-2	172.8614	1.454545	3·11
34	-2.199183921085535e-3	2.199183921085535e-3	172.9811	1.588235	2·17
35	-1.782326286153201e-2	1.782326286153201e-2	173.9507	1.371429	5·7
37	3.125602087028902e-3	3.125602087028902e-3	174.1207	1.027027	37 (prime)
38	-1.397991150897248e-3	1.397991150897248e-3	174.1968	1.578947	2·19
39	-2.164969084999944e-2	2.164969084999944e-2	175.3746	1.435897	3·13
41	1.493771499347671e-2	1.493771499347671e-2	176.1872	1.024390	41 (prime)
42	-5.483434422032108e-3	5.483434422032108e-3	176.4855	2.285714	2·3·7
