N	d2_N	lambda_min	gpu_ms	dd_s	D_N	b_vmin_proj
3	8.309197058359707e-2	6.798243121261269e-2	188.6	0.00	1.062393640869579e0	1.268806317492854e-2
4	6.905572933264481e-2	4.191314408630967e-2	2.1	0.00	1.480093387982727e0	2.708016559517967e-3
5	5.496507353019797e-2	3.071306642900733e-2	3.0	0.00	1.545017984567634e0	7.712304318219593e-3
6	5.490742924904046e-2	2.320015030684457e-2	8.1	0.00	1.655444312673353e0	1.085647483937768e-2
7	4.950733020567999e-2	1.760074046843567e-2	2.2	0.00	1.914323830134646e0	1.108449789743030e-2
8	4.947453130599810e-2	1.423675555967931e-2	2.0	0.00	1.874073465665639e0	3.042669548669497e-3
9	4.943070677583772e-2	1.041210259053798e-2	3.4	0.00	2.163689618389502e0	2.379947708135988e-4
10	4.928902371956534e-2	9.180132388077602e-3	2.1	0.00	2.155027510708312e0	1.721669836343226e-3
11	4.785903813919745e-2	7.426371128596168e-3	3.4	0.00	2.462861051697280e0	3.860436224464942e-3
12	4.785151471324434e-2	7.003049703638588e-3	2.2	0.00	2.273731012482064e0	5.509032136053749e-4
13	4.757638067439263e-2	5.202989398719024e-3	2.1	0.00	2.696768440333415e0	4.541666486918006e-6
14	4.690543447355322e-2	5.202876005275741e-3	1.8	0.00	2.797476507085496e0	3.974254192634901e-5
15	4.679715094490389e-2	4.105480924381142e-3	1.9	0.00	2.881803554331181e0	1.113275596652294e-3
16	4.662439754923986e-2	3.977673303145498e-3	2.4	0.00	2.671400722778273e0	1.444307060906730e-4
17	4.627317772039941e-2	3.342540311741364e-3	1.9	0.00	3.132604401213455e0	1.177540255352383e-4
18	4.627247865083073e-2	3.314268274592534e-3	2.2	0.00	2.824027245565364e0	7.128437191743914e-5
19	4.618137497063302e-2	2.597946778532594e-3	2.4	0.00	3.346866104015815e0	3.214098387988584e-4
20	4.598434545174368e-2	2.595645325043722e-3	1.9	0.00	3.484138697773500e0	2.751480142892532e-4
21	4.577388337849120e-2	2.195048792109808e-3	13.9	0.00	3.464236089770957e0	2.804351749984557e-4
22	4.575898585822180e-2	2.169418245338625e-3	2.2	0.00	3.122234231467629e0	2.441389387195930e-4
23	4.553340783135462e-2	1.894967693087096e-3	2.0	0.00	3.629739322802465e0	5.043428554355744e-4
24	4.553216733452825e-2	1.894900934307856e-3	2.1	0.00	3.723016409050931e0	5.026956273788965e-4
