M	S_M	sum_abs	cancel_ratio	ln_M
2770	1.908056565438402e0	5.539042857963426e2	0.00344474	7.926603
5545	1.860470987743538e0	7.338947548675628e2	0.00253507	8.620652
8311	1.877456515815478e0	8.591996922899010e2	0.00218512	9.025335
11087	1.972640452900862e0	9.556346512578248e2	0.00206422	9.313529
13865	1.898750112159140e0	1.034320854697066e3	0.00183575	9.537123
16630	1.894419555590091e0	1.099591107254931e3	0.00172284	9.718964
19402	1.894469893057027e0	1.155571408974996e3	0.00163942	9.873131
22171	1.847629998674070e0	1.203445318053254e3	0.00153528	10.006540
24949	1.824265440365318e0	1.244805548161585e3	0.00146550	10.124589
27707	1.823571952772559e0	1.279985080987183e3	0.00142468	10.229440
30482	1.818557049569741e0	1.310012064467624e3	0.00138820	10.324892
33266	1.821242167498464e0	1.335912923202711e3	0.00136329	10.412291
36034	1.824773692781831e0	1.357727829253967e3	0.00134399	10.492218
38814	1.823519808619093e0	1.375766118205745e3	0.00132546	10.566536
41585	1.821381641839905e0	1.390513701014535e3	0.00130986	10.635495
44339	1.835268185913005e0	1.402129275067973e3	0.00130892	10.699620
47105	1.837833076987278e0	1.410863553174203e3	0.00130263	10.760134
49886	1.837341815997286e0	1.416896300776076e3	0.00129674	10.817496
52657	1.837866431257054e0	1.420419187518487e3	0.00129389	10.871554
55421	1.838174054315974e0	1.421582099492146e3	0.00129305	10.922714
